"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,          91,      -8.486104346,      -8.474905291,      -8.892211258,      -7.789377971,      0.0351572266,      0.6575820506,                 0,                 0,     0.02252705749
          0,           0,          92,      -8.467157763,       -8.49866147,      -8.894055022,      -7.761711755,     0.03515726882,      0.6575826192,                 0,                 0,     0.02252720655
          0,           0,          93,      -8.472242762,      -8.524662145,      -8.902256901,      -7.775439727,     0.03515731831,      0.6575832803,                 0,                 0,     0.02252738222
          0,           0,          94,      -8.466551963,      -8.543870524,      -8.913087835,      -7.766489056,     0.03515737205,      0.6575839903,                 0,                 0,      0.0225275752
          0,           0,          95,      -8.451437131,      -8.554613255,      -8.908379406,      -7.743522249,      0.0351574152,      0.6575845823,                 0,                 0,      0.0225277177
          0,           0,          96,       -8.45798991,      -8.572447982,      -8.911680996,      -7.759132716,      0.0351574468,      0.6575849716,                 0,                 0,     0.02252782603
          0,           0,          97,      -8.460260185,      -8.589936248,      -8.940321246,      -7.758801224,     0.03515748683,      0.6575855076,                 0,                 0,     0.02252796628
          0,           0,          98,      -8.461805123,      -8.599810473,      -8.948805171,      -7.752336993,       0.035157519,      0.6575859587,                 0,                 0,     0.02252807241
          0,           0,          99,      -8.483022676,       -8.61992404,      -8.966104933,      -7.781785904,     0.03515754294,      0.6575862573,                 0,                 0,     0.02252815389
          0,           0,         100,      -8.500607372,      -8.641392302,      -9.006218624,      -7.797241597,     0.03515757332,      0.6575866653,                 0,                 0,     0.02252825864
          0,           0,         101,      -8.518056171,      -8.658088444,      -9.028509679,      -7.807164717,     0.03515760394,      0.6575870849,                 0,                 0,     0.02252836149
          0,           0,         102,      -8.538853002,      -8.676951197,      -9.045833309,      -7.824826599,     0.03515762478,      0.6575873426,                 0,                 0,     0.02252843027
          0,           0,         103,      -8.565040419,      -8.699924318,      -9.078370746,      -7.849900614,      0.0351576452,      0.6575876197,                 0,                 0,     0.02252849577
          0,           0,         104,      -8.599438082,      -8.725902192,      -9.114697426,      -7.883251164,     0.03515766824,      0.6575879368,                 0,                 0,     0.02252857041
          0,           0,         105,       -8.63028851,       -8.75268716,      -9.145070457,      -7.911365122,     0.03515767967,       0.657588081,                 0,                 0,     0.02252860426
          0,           0,         106,      -8.680229043,      -8.788716305,      -9.192108808,      -7.970654984,     0.03515769014,      0.6575882188,                 0,                 0,     0.02252863585
          0,           0,         107,      -8.728616758,      -8.827904153,      -9.254058674,      -8.019387941,     0.03515770304,      0.6575883942,                 0,                 0,     0.02252867772
          0,           0,         108,      -8.774057199,      -8.867178441,      -9.301448264,      -8.059231457,     0.03515771523,      0.6575885494,                 0,                 0,     0.02252871733
          0,           0,         109,       -8.81494478,      -8.906513276,      -9.339853573,      -8.095056609,     0.03515772106,      0.6575886269,                 0,                 0,     0.02252873397
          0,           0,         110,      -8.872713012,      -8.950442838,      -9.387863395,      -8.160630059,     0.03515772731,      0.6575887167,                 0,                 0,     0.02252875212
          0,           0,         111,      -8.927541674,       -8.99813349,      -9.450029123,      -8.215929631,     0.03515773342,      0.6575887954,                 0,                 0,       0.022528771
          0,           0,         112,       -8.97963725,      -9.046872895,      -9.505715375,      -8.263033136,     0.03515773932,      0.6575888733,                 0,                 0,     0.02252878939
          0,           0,         113,      -9.030156296,      -9.096350189,       -9.55137449,      -8.308646288,      0.0351577428,      0.6575889219,                 0,                 0,     0.02252879902
          0,           0,         114,       -9.09396414,      -9.147395158,      -9.603471766,      -8.379637989,      0.0351577457,      0.6575889599,                 0,                 0,     0.02252880705
          0,           0,         115,       -9.15606898,      -9.203369849,      -9.674258066,      -8.442343385,     0.03515774844,      0.6575889963,                 0,                 0,     0.02252881476
          0,           0,         116,      -9.217066054,      -9.259644459,      -9.737874688,       -8.49872248,     0.03515775134,      0.6575890357,                 0,                 0,     0.02252882274
          0,           0,         117,      -9.276469686,      -9.316755358,      -9.792800734,      -8.553457638,     0.03515775278,      0.6575890546,                 0,                 0,     0.02252882605
          0,           0,         118,      -9.346324662,      -9.373157684,      -9.852022012,      -8.629866785,     0.03515775384,      0.6575890682,                 0,                 0,     0.02252882833
          0,           0,         119,       -9.41616136,      -9.434626397,      -9.928780345,      -8.700323366,     0.03515775468,      0.6575890792,                 0,                 0,     0.02252882986
          0,           0,         120,      -9.486776522,      -9.497036221,      -10.00025409,      -8.766515444,      0.0351577553,      0.6575890876,                 0,                 0,     0.02252883041
          0,           0,         121,      -9.559737646,      -9.561174439,      -10.06728651,      -8.834579587,     0.03515775542,       0.657589089,                 0,                 0,     0.02252882936
          0,           0,         122,      -9.639726499,      -9.626827698,      -10.13901012,      -8.911304064,      0.0351577553,      0.6575890869,                 0,                 0,     0.02252882776
          0,           0,         123,      -9.728736275,      -9.695465121,       -10.2189278,      -8.997079202,     0.03515775491,      0.6575890822,                 0,                 0,      0.0225288255
          0,           0,         124,      -9.830117772,      -9.767127711,      -10.30339681,      -9.095304418,     0.03515775452,      0.6575890771,                 0,                 0,      0.0225288238
          0,           0,         125,      -9.937561529,      -9.838073149,       -10.3801349,      -9.204832206,     0.03515775411,      0.6575890721,                 0,                 0,     0.02252882201
          0,           0,         126,      -10.05326006,      -9.915129332,       -10.4606374,      -9.319818372,     0.03515775365,      0.6575890658,                 0,                 0,     0.02252881984
          0,           0,         127,      -10.17445712,      -9.994463835,      -10.53478524,      -9.438062579,     0.03515775319,      0.6575890595,                 0,                 0,     0.02252881799
          0,           0,         128,      -10.28055276,      -10.06643752,      -10.59251988,      -9.549710063,     0.03515775273,      0.6575890535,                 0,                 0,     0.02252881615
          0,           0,         129,      -10.38334912,      -10.14375863,      -10.65991622,       -9.65580317,      0.0351577522,      0.6575890465,                 0,                 0,     0.02252881392
          0,           0,         130,      -10.46812007,      -10.21988789,      -10.72568194,       -9.74199325,     0.03515775174,      0.6575890402,                 0,                 0,     0.02252881213
          0,           0,         131,      -10.52102968,      -10.28631121,      -10.77766953,      -9.809431655,     0.03515775132,      0.6575890347,                 0,                 0,     0.02252881043
          0,           0,         132,      -10.54790916,      -10.35148332,      -10.83830104,      -9.841901521,     0.03515775068,      0.6575890262,                 0,                 0,     0.02252880791
          0,           0,         133,      -10.54667195,      -10.40580484,      -10.87079079,      -9.837584401,     0.03515775031,      0.6575890213,                 0,                 0,     0.02252880653
          0,           0,         134,       -10.5513014,       -10.4530056,      -10.90340792,      -9.854154652,     0.03515774977,      0.6575890141,                 0,                 0,     0.02252880452
          0,           0,         135,      -10.53914583,      -10.48956708,      -10.92347427,      -9.840176827,     0.03515774926,      0.6575890076,                 0,                 0,     0.02252880261
          0,           0,         136,      -10.51532648,      -10.51717825,       -10.9318739,      -9.808533929,     0.03515774882,      0.6575890016,                 0,                 0,     0.02252880105
          0,           0,         137,       -10.5163557,      -10.54421054,      -10.93467062,      -9.818819649,     0.03515774835,      0.6575889953,                 0,                 0,     0.02252879938
          0,           0,         138,      -10.50485277,      -10.56409644,      -10.94343979,      -9.804456585,     0.03515774784,      0.6575889886,                 0,                 0,     0.02252879755
          0,           0,         139,       -10.4846383,       -10.5750599,      -10.93579615,      -9.776529404,     0.03515774742,       0.657588983,                 0,                 0,     0.02252879618
          0,           0,         140,      -10.48792813,      -10.59276897,      -10.93666303,       -9.78914194,     0.03515774712,      0.6575889792,                 0,                 0,     0.02252879515
