+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         211|  2.1858e-01|   -7.212407|   -8.552079|    1.167827|    0.033711|    0.004676|
|         212|  2.1851e-01|   -7.222740|   -8.578624|    1.168053|    0.033786|    0.004763|
|         213|  2.1844e-01|   -7.233456|   -8.606558|    1.168163|    0.033833|    0.004813|
|         214|  2.1838e-01|   -7.244237|   -8.635893|    1.168157|    0.033854|    0.004829|
|         215|  2.1830e-01|   -7.254789|   -8.666624|    1.168039|    0.033852|    0.004817|
|         216|  2.1824e-01|   -7.264895|   -8.698711|    1.167822|    0.033830|    0.004780|
|         217|  2.1821e-01|   -7.274453|   -8.732182|    1.167518|    0.033793|    0.004727|
|         218|  2.1817e-01|   -7.283476|   -8.767029|    1.167147|    0.033745|    0.004662|
|         219|  2.1810e-01|   -7.292066|   -8.803201|    1.166729|    0.033692|    0.004593|
|         220|  2.1804e-01|   -7.300369|   -8.840746|    1.166285|    0.033638|    0.004526|
|         221|  2.1798e-01|   -7.308506|   -8.879644|    1.165837|    0.033588|    0.004466|
|         222|  2.1791e-01|   -7.316515|   -8.919848|    1.165405|    0.033546|    0.004418|
|         223|  2.1784e-01|   -7.324308|   -8.961317|    1.165007|    0.033515|    0.004386|
|         224|  2.1779e-01|   -7.331662|   -9.003950|    1.164658|    0.033498|    0.004371|
|         225|  2.1773e-01|   -7.338242|   -9.047601|    1.164369|    0.033496|    0.004376|
|         226|  2.1767e-01|   -7.343667|   -9.092082|    1.164147|    0.033509|    0.004399|
|         227|  2.1762e-01|   -7.347593|   -9.137042|    1.163995|    0.033537|    0.004439|
|         228|  2.1757e-01|   -7.349815|   -9.182021|    1.163912|    0.033580|    0.004496|
|         229|  2.1751e-01|   -7.350326|   -9.226356|    1.163895|    0.033635|    0.004564|
|         230|  2.1745e-01|   -7.349343|   -9.269070|    1.163936|    0.033699|    0.004641|
|         231|  2.1740e-01|   -7.347273|   -9.309176|    1.164025|    0.033769|    0.004723|
|         232|  2.1736e-01|   -7.344635|   -9.345372|    1.164150|    0.033844|    0.004805|
|         233|  2.1732e-01|   -7.341983|   -9.376254|    1.164298|    0.033918|    0.004883|
|         234|  2.1725e-01|   -7.339822|   -9.400892|    1.164455|    0.033989|    0.004953|
|         235|  2.1720e-01|   -7.338563|   -9.418620|    1.164605|    0.034054|    0.005011|
|         236|  2.1714e-01|   -7.338499|   -9.429454|    1.164737|    0.034109|    0.005055|
|         237|  2.1709e-01|   -7.339799|   -9.434011|    1.164838|    0.034154|    0.005082|
|         238|  2.1705e-01|   -7.342517|   -9.433060|    1.164898|    0.034185|    0.005090|
|         239|  2.1699e-01|   -7.346607|   -9.428037|    1.164909|    0.034203|    0.005080|
|         240|  2.1695e-01|   -7.351948|   -9.421597|    1.164868|    0.034206|    0.005052|
|         241|  2.1690e-01|   -7.358367|   -9.415057|    1.164772|    0.034196|    0.005006|
|         242|  2.1687e-01|   -7.365667|   -9.409358|    1.164620|    0.034172|    0.004945|
|         243|  2.1681e-01|   -7.373654|   -9.405005|    1.164416|    0.034137|    0.004870|
|         244|  2.1676e-01|   -7.382163|   -9.402351|    1.164164|    0.034091|    0.004784|
|         245|  2.1670e-01|   -7.391073|   -9.401536|    1.163871|    0.034037|    0.004691|
|         246|  2.1666e-01|   -7.400320|   -9.402653|    1.163544|    0.033978|    0.004592|
|         247|  2.1661e-01|   -7.409887|   -9.405797|    1.163193|    0.033915|    0.004492|
|         248|  2.1657e-01|   -7.419798|   -9.411052|    1.162826|    0.033850|    0.004392|
|         249|  2.1659e-01|   -7.430089|   -9.418117|    1.162455|    0.033786|    0.004296|
|         250|  2.1663e-01|   -7.440790|   -9.426959|    1.162087|    0.033725|    0.004206|
+-----------------------------------------------------------------------+
|        File Writing Summary       |              Filename             |
+-----------------------------------------------------------------------+
|SU2 binary restart                 |restart_flow.dat                   |
|Paraview                           |flow.vtu                           |
|Paraview surface                   |surface_flow.vtu                   |
+-----------------------------------------------------------------------+
+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|         251|  2.1696e-01|   -7.451896|   -9.437464|    1.161732|    0.033668|    0.004123|
|         252|  2.1689e-01|   -7.463357|   -9.449197|    1.161397|    0.033618|    0.004049|
|         253|  2.1686e-01|   -7.475066|   -9.462020|    1.161088|    0.033574|    0.003985|
|         254|  2.1682e-01|   -7.486862|   -9.475343|    1.160809|    0.033537|    0.003931|
|         255|  2.1683e-01|   -7.498537|   -9.488583|    1.160561|    0.033507|    0.003886|
|         256|  2.1679e-01|   -7.509860|   -9.501153|    1.160346|    0.033484|    0.003850|
|         257|  2.1674e-01|   -7.520589|   -9.512284|    1.160161|    0.033467|    0.003821|
|         258|  2.1673e-01|   -7.530497|   -9.521085|    1.160003|    0.033455|    0.003797|
|         259|  2.1671e-01|   -7.539389|   -9.526943|    1.159868|    0.033447|    0.003776|
|         260|  2.1667e-01|   -7.547111|   -9.529464|    1.159749|    0.033441|    0.003757|
|         261|  2.1665e-01|   -7.553549|   -9.528218|    1.159641|    0.033435|    0.003737|
|         262|  2.1662e-01|   -7.558622|   -9.523135|    1.159535|    0.033429|    0.003714|
|         263|  2.1661e-01|   -7.562279|   -9.514511|    1.159425|    0.033420|    0.003687|
|         264|  2.1662e-01|   -7.564485|   -9.502952|    1.159305|    0.033407|    0.003654|
|         265|  2.1662e-01|   -7.565228|   -9.488750|    1.159167|    0.033389|    0.003613|
|         266|  2.1667e-01|   -7.564519|   -9.472871|    1.159007|    0.033366|    0.003564|
|         267|  2.1672e-01|   -7.562410|   -9.456028|    1.158821|    0.033337|    0.003506|
|         268|  2.1676e-01|   -7.559008|   -9.438764|    1.158605|    0.033301|    0.003440|
|         269|  2.1681e-01|   -7.554476|   -9.421487|    1.158359|    0.033259|    0.003366|
|         270|  2.1685e-01|   -7.549040|   -9.404496|    1.158082|    0.033211|    0.003285|
|         271|  2.1690e-01|   -7.542973|   -9.387961|    1.157776|    0.033159|    0.003198|
|         272|  2.1691e-01|   -7.536577|   -9.372189|    1.157444|    0.033102|    0.003106|
|         273|  2.1698e-01|   -7.530156|   -9.357306|    1.157088|    0.033042|    0.003011|
|         274|  2.1702e-01|   -7.523996|   -9.343134|    1.156715|    0.032981|    0.002914|
|         275|  2.1711e-01|   -7.518346|   -9.329973|    1.156328|    0.032920|    0.002817|
|         276|  2.1715e-01|   -7.513405|   -9.317802|    1.155933|    0.032859|    0.002721|
|         277|  2.1720e-01|   -7.509322|   -9.306676|    1.155536|    0.032800|    0.002629|
|         278|  2.1724e-01|   -7.506190|   -9.296502|    1.155141|    0.032744|    0.002540|
|         279|  2.1725e-01|   -7.504052|   -9.287380|    1.154753|    0.032692|    0.002456|
|         280|  2.1722e-01|   -7.502912|   -9.279227|    1.154375|    0.032645|    0.002378|
|         281|  2.1721e-01|   -7.502735|   -9.271962|    1.154010|    0.032602|    0.002305|
|         282|  2.1722e-01|   -7.503462|   -9.265669|    1.153660|    0.032564|    0.002237|
|         283|  2.1724e-01|   -7.505016|   -9.260299|    1.153325|    0.032530|    0.002174|
|         284|  2.1723e-01|   -7.507307|   -9.255798|    1.153005|    0.032501|    0.002116|
|         285|  2.1722e-01|   -7.510240|   -9.252141|    1.152698|    0.032476|    0.002060|
|         286|  2.1725e-01|   -7.513717|   -9.249155|    1.152401|    0.032453|    0.002008|
|         287|  2.1723e-01|   -7.517637|   -9.246973|    1.152113|    0.032433|    0.001957|
|         288|  2.1723e-01|   -7.521899|   -9.245354|    1.151830|    0.032414|    0.001906|
|         289|  2.1723e-01|   -7.526397|   -9.244336|    1.151549|    0.032395|    0.001854|
|         290|  2.1727e-01|   -7.531026|   -9.243924|    1.151266|    0.032377|    0.001801|
|         291|  2.1729e-01|   -7.535673|   -9.244059|    1.150978|    0.032357|    0.001746|
