|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         121|  2.3827e-01|   -7.030266|  -10.004014|    0.574265|    0.011419|    0.010494|
|         122|  2.3848e-01|   -7.029988|   -9.996917|    0.576695|    0.011723|    0.011347|
|         123|  2.3840e-01|   -7.020830|   -9.989863|    0.579565|    0.012045|    0.012250|
|         124|  2.3836e-01|   -7.008078|   -9.982859|    0.582683|    0.012362|    0.013143|
|         125|  2.3817e-01|   -6.996651|   -9.975905|    0.585851|    0.012653|    0.013970|
|         126|  2.3807e-01|   -6.990039|   -9.969012|    0.588888|    0.012899|    0.014685|
|         127|  2.3782e-01|   -6.990170|   -9.962166|    0.591640|    0.013089|    0.015257|
|         128|  2.3758e-01|   -6.997688|   -9.955373|    0.593986|    0.013214|    0.015664|
|         129|  2.3739e-01|   -7.012233|   -9.948629|    0.595843|    0.013274|    0.015899|
|         130|  2.3728e-01|   -7.032591|   -9.941922|    0.597166|    0.013271|    0.015965|
|         131|  2.3715e-01|   -7.056748|   -9.935256|    0.597944|    0.013211|    0.015875|
|         132|  2.3702e-01|   -7.081982|   -9.928623|    0.598196|    0.013102|    0.015647|
|         133|  2.3693e-01|   -7.105219|   -9.922011|    0.597966|    0.012954|    0.015307|
|         134|  2.3685e-01|   -7.123823|   -9.915416|    0.597317|    0.012777|    0.014881|
|         135|  2.3663e-01|   -7.136611|   -9.908838|    0.596328|    0.012584|    0.014402|
|         136|  2.3644e-01|   -7.144367|   -9.902277|    0.595098|    0.012386|    0.013904|
|         137|  2.3641e-01|   -7.149371|   -9.895728|    0.593737|    0.012196|    0.013422|
|         138|  2.3645e-01|   -7.154374|   -9.889193|    0.592359|    0.012025|    0.012987|
|         139|  2.3632e-01|   -7.161741|   -9.882679|    0.591069|    0.011880|    0.012626|
|         140|  2.3619e-01|   -7.172986|   -9.876189|    0.589959|    0.011769|    0.012359|
|         141|  2.3604e-01|   -7.188605|   -9.869732|    0.589102|    0.011696|    0.012197|
|         142|  2.3598e-01|   -7.208007|   -9.863321|    0.588545|    0.011660|    0.012145|
|         143|  2.3596e-01|   -7.229473|   -9.856968|    0.588319|    0.011662|    0.012202|
|         144|  2.3614e-01|   -7.250220|   -9.850688|    0.588435|    0.011698|    0.012362|
|         145|  2.3604e-01|   -7.266848|   -9.844498|    0.588895|    0.011765|    0.012616|
|         146|  2.3592e-01|   -7.276443|   -9.838417|    0.589685|    0.011860|    0.012952|
|         147|  2.3586e-01|   -7.277973|   -9.832455|    0.590774|    0.011977|    0.013352|
|         148|  2.3567e-01|   -7.272808|   -9.826625|    0.592105|    0.012108|    0.013793|
|         149|  2.3548e-01|   -7.263907|   -9.820936|    0.593607|    0.012247|    0.014248|
|         150|  2.3544e-01|   -7.254555|   -9.815400|    0.595197|    0.012383|    0.014692|
|         151|  2.3538e-01|   -7.247477|   -9.810019|    0.596792|    0.012511|    0.015100|
|         152|  2.3529e-01|   -7.244493|   -9.804790|    0.598315|    0.012622|    0.015456|
|         153|  2.3526e-01|   -7.246520|   -9.799705|    0.599702|    0.012711|    0.015744|
|         154|  2.3515e-01|   -7.253701|   -9.794751|    0.600903|    0.012777|    0.015958|
|         155|  2.3505e-01|   -7.265536|   -9.789899|    0.601883|    0.012816|    0.016096|
|         156|  2.3496e-01|   -7.280985|   -9.785128|    0.602627|    0.012831|    0.016159|
|         157|  2.3553e-01|   -7.298567|   -9.780410|    0.603130|    0.012821|    0.016155|
|         158|  2.3556e-01|   -7.316526|   -9.775707|    0.603405|    0.012791|    0.016092|
|         159|  2.3564e-01|   -7.333107|   -9.770989|    0.603470|    0.012744|    0.015982|
|         160|  2.3568e-01|   -7.346947|   -9.766216|    0.603355|    0.012684|    0.015837|
|         161|  2.3562e-01|   -7.357438|   -9.761341|    0.603093|    0.012614|    0.015669|
|         162|  2.3575e-01|   -7.364854|   -9.756333|    0.602725|    0.012540|    0.015494|
|         163|  2.3578e-01|   -7.370153|   -9.751144|    0.602296|    0.012467|    0.015323|
|         164|  2.3579e-01|   -7.374585|   -9.745726|    0.601854|    0.012400|    0.015172|
|         165|  2.3590e-01|   -7.379299|   -9.740056|    0.601442|    0.012341|    0.015049|
|         166|  2.3589e-01|   -7.385053|   -9.734097|    0.601102|    0.012296|    0.014965|
|         167|  2.3623e-01|   -7.392048|   -9.727821|    0.600866|    0.012265|    0.014924|
|         168|  2.3618e-01|   -7.399895|   -9.721201|    0.600757|    0.012250|    0.014930|
|         169|  2.3615e-01|   -7.407693|   -9.714201|    0.600791|    0.012252|    0.014982|
|         170|  2.3614e-01|   -7.414246|   -9.706809|    0.600974|    0.012269|    0.015079|
|         171|  2.3609e-01|   -7.418419|   -9.699006|    0.601305|    0.012300|    0.015216|
|         172|  2.3602e-01|   -7.419534|   -9.690791|    0.601775|    0.012344|    0.015386|
|         173|  2.3595e-01|   -7.417633|   -9.682141|    0.602365|    0.012396|    0.015581|
|         174|  2.3580e-01|   -7.413440|   -9.673071|    0.603049|    0.012455|    0.015790|
|         175|  2.3564e-01|   -7.408090|   -9.663580|    0.603795|    0.012517|    0.016002|
|         176|  2.3572e-01|   -7.402808|   -9.653671|    0.604568|    0.012577|    0.016206|
|         177|  2.3603e-01|   -7.398655|   -9.643346|    0.605335|    0.012634|    0.016393|
|         178|  2.3613e-01|   -7.396377|   -9.632622|    0.606063|    0.012683|    0.016555|
|         179|  2.3616e-01|   -7.396352|   -9.621535|    0.606727|    0.012723|    0.016687|
|         180|  2.3611e-01|   -7.398593|   -9.610109|    0.607304|    0.012753|    0.016786|
|         181|  2.3659e-01|   -7.402791|   -9.598373|    0.607782|    0.012771|    0.016850|
|         182|  2.3678e-01|   -7.408393|   -9.586359|    0.608154|    0.012777|    0.016880|
|         183|  2.3732e-01|   -7.414696|   -9.574099|    0.608417|    0.012773|    0.016880|
|         184|  2.3735e-01|   -7.420970|   -9.561618|    0.608576|    0.012759|    0.016853|
|         185|  2.3731e-01|   -7.426578|   -9.548946|    0.608640|    0.012736|    0.016804|
|         186|  2.3729e-01|   -7.431092|   -9.536119|    0.608620|    0.012707|    0.016737|
|         187|  2.3725e-01|   -7.434347|   -9.523182|    0.608532|    0.012673|    0.016660|
|         188|  2.3718e-01|   -7.436432|   -9.510146|    0.608393|    0.012636|    0.016576|
|         189|  2.3714e-01|   -7.437626|   -9.497046|    0.608220|    0.012598|    0.016493|
|         190|  2.3707e-01|   -7.438289|   -9.483917|    0.608034|    0.012562|    0.016415|
|         191|  2.3695e-01|   -7.438760|   -9.470776|    0.607853|    0.012529|    0.016347|
