"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
107, 1.394999958600000e-02, 1.790868381233076e-02, 2.183188729526125e-01, -4.408468737623080e-02, -5.262681833256478e-01, 5.626477943344745e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.520491005022001e-02
108, 1.789999939500000e-02, 1.983996827833475e-02, 2.504418910897281e-01, -1.088076764880194e-01, -4.631836127281111e-01, 6.386494334864497e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.518166428746124e-02
109, 2.232000045500000e-02, 2.167241129050488e-02, 3.526764752470726e-01, -2.232800908619539e-01, -4.406357129870369e-01, 8.833602724233384e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.906006697250759e-01
110, 2.723000012300000e-02, 2.342080209221491e-02, 5.193139542209161e-01, -3.874206646250544e-01, -4.418894310925097e-01, 1.288420587036743e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.357408896426665e-01
111, 3.260000050100000e-02, 2.508073021905922e-02, 6.597984931902181e-01, -5.270357381102431e-01, -4.274769128109794e-01, 1.639524914690435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.475389554511295e-01
112, 3.844000026600000e-02, 2.666215456121531e-02, 7.136349950415281e-01, -5.889778299396919e-01, -3.868342677309233e-01, 1.784540372315085e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.753312562174670e-02
113, 4.473999887700000e-02, 2.816827226895435e-02, 6.967642926840169e-01, -5.852898674308642e-01, -3.355695894782009e-01, 1.752109940311564e-01, 0.000000000000000e+00, 0.000000000000000e+00, -6.275761223440433e-02
114, 5.149000138000000e-02, 2.960275135853808e-02, 6.532695465352489e-01, -5.544417046724998e-01, -2.888545577918994e-01, 1.647188192793886e-01, 0.000000000000000e+00, 0.000000000000000e+00, -8.248382392304444e-02
115, 5.869000032500000e-02, 3.097125775256526e-02, 6.094446438144357e-01, -5.207675773659989e-01, -2.505628579530897e-01, 1.537321763475327e-01, 0.000000000000000e+00, 0.000000000000000e+00, -7.456837636465381e-02
116, 6.633000075800000e-02, 3.227715559111580e-02, 5.702835954656037e-01, -4.897182805673719e-01, -2.188995322712565e-01, 1.438080601528739e-01, 0.000000000000000e+00, 0.000000000000000e+00, -6.358646882745123e-02
117, 7.440000027400000e-02, 3.352387049050651e-02, 5.343806981827555e-01, -4.605694523169843e-01, -1.920621687262968e-01, 1.347078285371829e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.506523985807513e-02
118, 8.290000259900000e-02, 3.471611338457736e-02, 5.013127815829885e-01, -4.331627762842654e-01, -1.692348432973632e-01, 1.263116064177060e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.836853722466705e-02
119, 9.181000292300000e-02, 3.585555121642122e-02, 4.711468063162135e-01, -4.077781758021591e-01, -1.497463113141561e-01, 1.186690263519346e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.368436928072479e-02
120, 1.011300012470000e-01, 3.694639428267898e-02, 4.435358595678180e-01, -3.842442064596800e-01, -1.329327859704572e-01, 1.116601065830324e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.054746144848455e-02
121, 1.108499988910000e-01, 3.799122287050238e-02, 4.177642758699588e-01, -3.620451234624512e-01, -1.182707336920477e-01, 1.051448155347131e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.676356919735183e-02
122, 1.209499984980000e-01, 3.899145893334021e-02, 3.938485767770739e-01, -3.412530174674188e-01, -1.054200986519905e-01, 9.908183718482270e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.110996160703355e-02
