"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         114,      -7.625796923,      -7.175851709,      -7.432125478,      -7.404305479,      -7.038321586,      -11.79606729
          0,           0,         115,      -7.635592648,      -7.187983996,      -7.430750113,      -7.402979705,      -7.048317382,      -11.80662575
          0,           0,         116,      -7.645341387,      -7.200083932,      -7.429972869,      -7.402157289,      -7.058265945,      -11.81719486
          0,           0,         117,      -7.655041357,      -7.212151531,      -7.429747274,      -7.401808939,      -7.068165911,      -11.82777339
          0,           0,         118,      -7.664699566,      -7.224187521,      -7.430030545,      -7.401906771,      -7.078025948,      -11.83836029
          0,           0,         119,      -7.674323947,      -7.236192636,      -7.430783132,      -7.402423095,      -7.087855386,       -11.8489545
          0,           0,         120,      -7.683918776,      -7.248167847,      -7.431968993,      -7.403332871,      -7.097659209,      -11.85955522
          0,           0,         121,      -7.693487683,      -7.260114442,      -7.433556199,      -7.404613386,      -7.107441578,      -11.87016178
          0,           0,         122,      -7.703033326,       -7.27203371,      -7.435516606,      -7.406244139,      -7.117205476,      -11.88077364
          0,           0,         123,      -7.712556391,      -7.283925614,      -7.437825114,        -7.4082067,      -7.126951807,      -11.89139034
          0,           0,         124,      -7.722058622,      -7.295790115,      -7.440459305,      -7.410484171,      -7.136682619,      -11.90201168
          0,           0,         125,      -7.731542305,      -7.307627706,      -7.443399005,      -7.413060849,      -7.146400437,      -11.91263755
          0,           0,         126,      -7.741007961,      -7.319438028,      -7.446625307,      -7.415921846,      -7.156105917,       -11.9232678
          0,           0,         127,      -7.750455945,      -7.331220575,      -7.450120687,      -7.419052857,       -7.16579955,      -11.93390289
          0,           0,         128,      -7.759886548,       -7.34297442,      -7.453868989,      -7.422439946,       -7.17548178,      -11.94454318
          0,           0,         129,      -7.769300079,      -7.354699206,       -7.45785508,      -7.426069912,      -7.185152977,      -11.95518895
          0,           0,         130,      -7.778697297,      -7.366395749,      -7.462064935,      -7.429930063,      -7.194813935,       -11.9658415
          0,           0,         131,      -7.788079075,      -7.378065257,      -7.466485059,      -7.434008645,      -7.204465582,      -11.97650415
          0,           0,         132,      -7.797443069,      -7.389708147,      -7.471102024,      -7.438293781,      -7.214105182,      -11.98716912
          0,           0,         133,      -7.806791712,       -7.40132466,      -7.475903706,      -7.442773533,      -7.223735206,       -11.9978406
          0,           0,         134,      -7.816127658,      -7.412916317,      -7.480879711,      -7.447436721,      -7.233358353,      -12.00851937
          0,           0,         135,      -7.825452197,      -7.424484137,      -7.486019882,      -7.452272472,      -7.242975983,      -12.01920638
          0,           0,         136,      -7.834766329,      -7.436029472,      -7.491314306,      -7.457270461,      -7.252589209,      -12.02990278
          0,           0,         137,      -7.844069531,      -7.447552521,      -7.496753523,      -7.462420904,      -7.262197465,      -12.04061273
          0,           0,         138,      -7.853362493,      -7.459054535,      -7.502328856,      -7.467714722,       -7.27180143,      -12.05133031
          0,           0,         139,      -7.862645629,      -7.470536719,      -7.508032286,      -7.473143454,      -7.281401463,      -12.06205951
          0,           0,         140,      -7.871917595,      -7.482000114,      -7.513856514,      -7.478699239,      -7.290995851,      -12.07280115
          0,           0,         141,       -7.88117936,      -7.493445551,      -7.519795116,      -7.484375254,      -7.300585569,      -12.08355631
          0,           0,         142,      -7.890429661,      -7.504873293,      -7.525841692,      -7.490164483,       -7.31016916,      -12.09432635
          0,           0,         143,       -7.89966721,      -7.516283088,       -7.53199034,      -7.496060473,       -7.31974485,      -12.10511237
          0,           0,         144,      -7.908892013,      -7.527675048,      -7.538236141,      -7.502057985,      -7.329312397,      -12.11591576
          0,           0,         145,      -7.918092842,      -7.539049454,       -7.54457513,      -7.508152416,      -7.338858663,      -12.12673772
          0,           0,         146,      -7.927284484,      -7.550404831,      -7.551003164,      -7.514340743,      -7.348400614,      -12.13757944
          0,           0,         147,      -7.936470368,      -7.561742078,      -7.557516572,       -7.52061819,       -7.35794207,      -12.14844199
          0,           0,         148,       -7.94565474,      -7.573063279,      -7.564112232,      -7.526981133,      -7.367487705,      -12.15932639
          0,           0,         149,      -7.954839221,      -7.584370356,      -7.570787146,      -7.533427193,      -7.377039804,      -12.17023322
          0,           0,         150,      -7.964022777,       -7.59566415,      -7.577538266,      -7.539954374,      -7.386597838,      -12.18116239
          0,           0,         151,      -7.973202904,      -7.606944825,      -7.584362432,      -7.546560459,      -7.396159408,      -12.19211298
          0,           0,         152,      -7.982378162,      -7.618213072,      -7.591256626,      -7.553243001,      -7.405722789,      -12.20308352
          0,           0,         153,       -7.99154889,      -7.629470507,      -7.598218174,      -7.559998924,      -7.415288156,      -12.21407249
          0,           0,         154,      -8.000716653,        -7.6407194,      -7.605244455,      -7.566825572,      -7.424857137,      -12.22507876
          0,           0,         155,      -8.009882968,      -7.651961604,      -7.612332989,       -7.57372052,      -7.434431302,      -12.23610166
          0,           0,         156,      -8.019048723,      -7.663198359,      -7.619481605,      -7.580681514,      -7.444011482,      -12.24714359
          0,           0,         157,      -8.028212602,      -7.674430425,      -7.626688338,      -7.587706246,      -7.453596012,      -12.25819875
          0,           0,         158,      -8.037370273,      -7.685658445,      -7.633951646,       -7.59479237,       -7.46317953,      -12.26926952
          0,           0,         159,      -8.046525899,      -7.696882749,      -7.641270674,      -7.601938331,      -7.472767417,      -12.28035674
          0,           0,         160,      -8.055679233,      -7.708101571,      -7.648643877,      -7.609141678,      -7.482359807,      -12.29146047
          0,           0,         161,      -8.064829349,      -7.719313427,      -7.656069456,      -7.616399904,      -7.491955602,      -12.30258055
          0,           0,         162,      -8.073977142,      -7.730518398,      -7.663545759,      -7.623710849,      -7.501555894,      -12.31371689
          0,           0,         163,      -8.083123803,      -7.741717804,      -7.671070995,      -7.631072287,      -7.511162157,      -12.32487691
          0,           0,         164,      -8.092270654,       -7.75291394,      -7.678643625,      -7.638482443,      -7.520775969,      -12.33604715
          0,           0,         165,      -8.101418186,      -7.764108672,        -7.6862621,      -7.645939765,      -7.530397936,      -12.34724722
          0,           0,         166,      -8.110566082,      -7.775303629,      -7.693924529,      -7.653442463,      -7.540027672,      -12.35845367
          0,           0,         167,      -8.119712912,       -7.78649871,      -7.701628466,      -7.660988157,      -7.549663515,      -12.36967541
          0,           0,         168,      -8.128857172,      -7.797693225,      -7.709370853,      -7.668573722,      -7.559303785,      -12.38091246
          0,           0,         169,      -8.137997518,      -7.808887248,      -7.717148118,      -7.676195503,      -7.568946894,      -12.39216441
          0,           0,         170,      -8.147131456,      -7.820078198,      -7.724956667,      -7.683849646,      -7.578590237,      -12.40343105
          0,           0,         171,      -8.156257938,      -7.831265458,      -7.732793025,      -7.691532458,      -7.588232606,      -12.41471218
          0,           0,         172,      -8.165376057,      -7.842448595,      -7.740653971,      -7.699240481,      -7.597872998,      -12.42600717
          0,           0,         173,      -8.174484965,      -7.853627256,      -7.748536593,      -7.706970535,      -7.607510446,      -12.43731688
          0,           0,         174,      -8.183583871,      -7.864801295,      -7.756438266,      -7.714719723,      -7.617143991,      -12.44864055
          0,           0,         175,      -8.192672019,      -7.875970715,      -7.764356529,      -7.722485317,      -7.626772654,      -12.45997799
          0,           0,         176,      -8.201748598,      -7.887135597,      -7.772289032,      -7.730264717,      -7.636395328,      -12.47132912
          0,           0,         177,      -8.210812402,       -7.89829586,      -7.780233463,        -7.7380554,      -7.646010408,      -12.48269389
          0,           0,         178,       -8.21986244,      -7.909451403,      -7.788187586,      -7.745854978,      -7.655616537,      -12.49407237
          0,           0,         179,      -8.228897809,      -7.920602018,      -7.796149306,      -7.753661278,      -7.665212446,      -12.50546456
          0,           0,         180,      -8.237915604,      -7.931747401,      -7.804116677,      -7.761472333,      -7.674794365,       -12.5168708
