"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         123,      -6.078860845,       -6.64829645,      -6.509855604,       -5.52543534
          0,           0,         124,       -6.09929406,      -6.673273337,      -6.537440999,      -5.546347236
          0,           0,         125,      -6.119617915,      -6.698260971,      -6.565770443,      -5.567088932
          0,           0,         126,      -6.139862561,      -6.723079429,      -6.594469557,      -5.587698744
          0,           0,         127,      -6.160002968,      -6.747382263,      -6.623472205,        -5.6081633
          0,           0,         128,      -6.179967703,       -6.77096656,       -6.65257602,      -5.628439268
          0,           0,         129,      -6.199678284,      -6.793727641,      -6.681672554,      -5.648476414
          0,           0,         130,      -6.219062396,      -6.815564454,      -6.710383585,      -5.668225875
          0,           0,         131,      -6.238078981,      -6.836325631,      -6.737817769,      -5.687654024
          0,           0,         132,      -6.256671525,      -6.855862788,      -6.763534389,      -5.706670489
          0,           0,         133,       -6.27489351,      -6.874221578,      -6.787643011,      -5.725298322
          0,           0,         134,      -6.292699353,      -6.891714202,      -6.810031845,      -5.743452841
          0,           0,         135,       -6.31008573,      -6.908835585,      -6.829972566,      -5.761084231
          0,           0,         136,      -6.327114011,      -6.925885105,      -6.847134074,      -5.778213147
          0,           0,         137,      -6.343921821,      -6.943089937,      -6.861600471,      -5.794951735
          0,           0,         138,      -6.360648109,       -6.96071568,      -6.873769527,      -5.811431895
          0,           0,         139,      -6.377396523,      -6.978874514,      -6.884322132,      -5.827770561
          0,           0,         140,       -6.39427817,      -6.997653745,      -6.893869152,       -5.84412536
          0,           0,         141,       -6.41139943,      -7.016894973,      -6.903081487,      -5.860655621
          0,           0,         142,      -6.428816885,      -7.036244409,      -6.912202377,      -5.877460066
          0,           0,         143,      -6.446556076,      -7.055269267,      -6.921782836,      -5.894604767
          0,           0,         144,      -6.464652337,       -7.07348989,       -6.93223101,      -5.912174881
          0,           0,         145,      -6.482993956,       -7.09039626,       -6.94439177,      -5.930082446
          0,           0,         146,      -6.501597732,      -7.105716658,      -6.958382071,      -5.948368351
          0,           0,         147,      -6.520456242,      -7.119272151,      -6.974430992,      -5.967026439
          0,           0,         148,      -6.539590135,      -7.131041646,      -6.992522622,         -5.986072
