"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         141,      -4.233640204,      -1.342723773,      -1.352501286,      -1.352666707,        1.24836644
          0,           0,         142,      -4.235502728,      -1.343171825,      -1.356260401,       -1.35748894,       1.246609693
          0,           0,         143,      -4.237835546,      -1.344437866,      -1.359929501,      -1.362187887,       1.244266596
          0,           0,         144,      -4.240464764,      -1.346463212,      -1.363381723,       -1.36659997,       1.241527055
          0,           0,         145,      -4.243212062,      -1.349168653,      -1.366480525,      -1.370569518,       1.238586032
          0,           0,         146,      -4.245901844,      -1.352458616,       -1.36909985,      -1.373958899,       1.235636724
          0,           0,         147,      -4.248363579,      -1.356212527,      -1.371143511,      -1.376664737,       1.232867999
          0,           0,         148,      -4.250452987,      -1.360281611,      -1.372566766,      -1.378632273,       1.230443951
          0,           0,         149,      -4.252089281,      -1.364497296,      -1.373392923,       -1.37987179,       1.228468099
          0,           0,         150,      -4.253281709,      -1.368682345,      -1.373711851,      -1.380465132,       1.226955264
          0,           0,         151,      -4.254132423,      -1.372670172,      -1.373672111,       -1.38056126,        1.22582655
          0,           0,         152,      -4.254817564,      -1.376331517,      -1.373458685,      -1.380352745,       1.224923876
          0,           0,         153,      -4.255548963,      -1.379593809,      -1.373271049,      -1.380048019,       1.224045455
          0,           0,         154,      -4.256557633,      -1.382461573,      -1.373312542,      -1.379849584,        1.22296174
          0,           0,         155,      -4.258090613,      -1.385024932,      -1.373776568,        -1.3799454,       1.221421696
          0,           0,         156,      -4.260372614,      -1.387455347,      -1.374831621,      -1.380499079,       1.219190479
          0,           0,         157,      -4.263588552,      -1.389995019,      -1.376612863,      -1.381634832,       1.216068961
          0,           0,         158,      -4.267889198,      -1.392938724,      -1.379210751,      -1.383445679,       1.211888956
          0,           0,         159,      -4.273390907,      -1.396612328,      -1.382669421,      -1.385979164,       1.206513893
          0,           0,         160,      -4.280203663,      -1.401355548,      -1.386991623,      -1.389243027,       1.199815334
          0,           0,         161,      -4.288409336,      -1.407513636,       -1.39214461,      -1.393211044,       1.191691902
          0,           0,         162,      -4.298090503,       -1.41542975,      -1.398061824,      -1.397835199,       1.182042497
          0,           0,         163,      -4.309323004,       -1.42544195,      -1.404654368,      -1.403055868,       1.170774037
          0,           0,         164,       -4.32215443,      -1.437875592,      -1.411820644,      -1.408809924,       1.157820035
          0,           0,         165,      -4.336620359,      -1.453043144,      -1.419453152,      -1.415041571,        1.14312629
          0,           0,         166,      -4.352713248,      -1.471239359,      -1.427454873,      -1.421713656,       1.126678601
          0,           0,         167,      -4.370377167,      -1.492740735,      -1.435747733,      -1.428813759,       1.108509743
          0,           0,         168,      -4.389486828,      -1.517787585,      -1.444283958,      -1.436357541,       1.088720037
          0,           0,         169,       -4.40983059,      -1.546561739,       -1.45304927,      -1.444388649,       1.067498281
          0,           0,         170,      -4.431089845,      -1.579145235,      -1.462067312,      -1.452972101,        1.04514773
          0,           0,         171,      -4.452800924,       -1.61544496,       -1.47138653,      -1.462175498,       1.022129821
          0,           0,         172,      -4.474362271,      -1.655058229,      -1.481060535,      -1.472046894,      0.9990746315
          0,           0,         173,       -4.49506297,      -1.697100774,      -1.491124648,      -1.482591345,      0.9767610249
          0,           0,         174,      -4.514155259,      -1.739977366,      -1.501576672,      -1.493761068,      0.9560505256
