Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.92234,0,0,0,72.471,0,28.989,0.99002,0,-5.5151,0,0,0,1.65E-07,0.019537,0.027655,0,0,1.4023,0,0.0035153,0.010247,0
0.92356,0,0,0,72.528,0,29.011,0.98948,0,-5.4699,0,0,0,1.65E-07,0.019671,0.025544,0,0,1.361,0,0.004138,0.011092,0
0.92511,0,0,0,72.611,0,29.044,0.98896,0,-5.4033,0,0,0,1.65E-07,0.019606,0.023413,0,0,1.3182,0,0.0048446,0.011973,0
0.92695,0,0,0,72.719,0,29.088,0.98847,0,-5.317,0,0,0,1.65E-07,0.019345,0.021292,0,0,1.274,0,0.0056425,0.012889,0
0.92902,0,0,0,72.849,0,29.139,0.98802,0,-5.2131,0,0,0,1.65E-07,0.018888,0.019201,0,0,1.2281,0,0.0065393,0.013838,0
0.9313,0,0,0,72.997,0,29.199,0.98762,0,-5.0942,0,0,0,1.65E-07,0.018236,0.017157,0,0,1.1801,0,0.0075428,0.01482,0
0.93371,0,0,0,73.161,0,29.265,0.98728,0,-4.9629,0,0,0,1.65E-07,0.017408,0.015187,0,0,1.1301,0,0.008661,0.015834,0
0.9362,0,0,0,73.338,0,29.335,0.98703,0,-4.822,0,0,0,1.65E-07,0.016448,0.013328,0,0,1.0789,0,0.0099023,0.016879,0
0.9387,0,0,0,73.522,0,29.409,0.98687,0,-4.6747,0,0,0,1.65E-07,0.01541,0.011617,0,0,1.0276,0,0.011275,0.017953,0
0.94118,0,0,0,73.711,0,29.484,0.98681,0,-4.5232,0,0,0,1.65E-07,0.014324,0.010061,0,0,0.97634,0,0.012789,0.019055,0
