"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         37,           9,      -7.322163952,      -3.940330132,      -4.307845579,      -1.789057595,      -3.201679959,      0.9329898399,      0.1182697106,      0.1913813092,                 0,                 0,                 0,     0.02225210826,     0.09761702259,      0.2026954535,                 0,       1.618176862,      0.2526765722,     -0.6030142257,      -0.388511255,     -0.2791688028,     -0.6513304359,     -0.9862441785,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,           9,      -7.293373546,      -3.924177707,      -4.272092139,       -1.76968948,      -3.184217425,      0.9329898399,      0.1236103575,     0.02335700463,                 0,                 0,                 0,    -0.02300028633,      0.1204917352,     0.03614985322,                 0,      0.1889566951,      0.1732047154,     -0.5590498607,     -0.3494922752,     -0.2549042199,     -0.6092985988,      -1.001579024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,           9,       -7.25896755,      -3.914487676,      -4.234235047,      -1.749927988,      -3.149716388,      0.9329898399,      0.1321237076,     -0.1546932075,                 0,                 0,                 0,    -0.07107695291,      0.1475697634,     -0.1400350938,                 0,      -1.170820969,     0.08637452581,     -0.5118547142,     -0.3142958087,     -0.2330705472,     -0.5659577689,     -0.9893654219,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,           9,      -7.227991503,      -3.907628362,       -4.19511949,      -1.731200985,      -3.105099089,      0.9329898399,      0.1423896197,     -0.3246043019,                 0,                 0,                 0,      -0.113673277,      0.1755399834,     -0.3079423174,                 0,       -2.27969077,    0.007550343339,     -0.4718433976,     -0.2827013278,     -0.2152525696,     -0.5245897718,     -0.9542850912,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,           9,      -7.160386946,      -3.874323094,       -4.13163134,      -1.686880881,      -3.101271149,      0.9329898399,      0.1527832087,     -0.4617446279,                 0,                 0,                 0,     -0.1417934494,      0.2002117027,     -0.4432449485,                 0,      -3.022221041,    0.004552582178,     -0.3893724239,      -0.226100905,     -0.1756501012,     -0.4510011237,     -0.9469476593,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,           9,      -7.138136247,      -3.882806153,      -4.106047815,      -1.670321783,      -3.089508335,      0.9329898399,      0.1619163804,     -0.5754370453,                 0,                 0,                 0,     -0.1608392096,      0.2211789356,     -0.5553598705,                 0,      -3.553914952,    0.003254630333,     -0.3349747321,     -0.2083843055,     -0.1642823298,      -0.389201094,     -0.9139567662,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           9,      -7.112487415,      -3.888940566,      -4.078749524,      -1.648487308,      -3.082162691,      0.9329898399,      0.1683138826,     -0.6473772092,                 0,                 0,                 0,     -0.1653520385,      0.2350611864,     -0.6262372176,                 0,      -3.846249633,      0.0021412934,     -0.2840650276,     -0.1957992347,      -0.157597746,     -0.3264668267,     -0.8681360342,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           9,      -7.096678342,      -3.896974472,      -4.050759901,      -1.638205677,       -3.08418504,      0.9329898399,      0.1708941833,     -0.6796932736,                 0,                 0,                 0,     -0.1574465613,      0.2410053005,     -0.6581065364,                 0,      -3.977275648,    0.001001971492,     -0.2532666752,     -0.1907016047,     -0.1554319221,      -0.283225655,     -0.8123387183,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -7.084967057,      -3.904285898,      -4.020721396,      -1.638410692,      -3.101731761,      0.9329898399,      0.1697429083,     -0.6837979954,                 0,                 0,                 0,     -0.1417731278,      0.2402893926,     -0.6623091131,                 0,      -4.028433365,    0.001183694145,     -0.2370075215,     -0.1924021495,     -0.1559020474,     -0.2628145103,      -0.749255896,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,           9,      -7.075169931,      -3.906387666,      -3.990688462,      -1.643154548,      -3.128301463,      0.9329898399,      0.1657775891,     -0.6718343111,                 0,                 0,                 0,     -0.1226666597,      0.2350952502,     -0.6508254558,                 0,      -4.052624451,    0.002422832505,     -0.2298653177,     -0.1978876392,     -0.1584618989,     -0.2572529327,     -0.6767470926,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
