"Pressure","Points:0","Points:1","Points:2"
0.96204,0.25829,0.13557,-0.035096
0.97207,0.23621,0.13546,-0.034039
0.98147,0.21536,0.13534,-0.032839
0.99061,0.19584,0.13521,-0.031507
0.99989,0.17772,0.13507,-0.030055
1.0095,0.16108,0.13492,-0.028497
1.0195,0.14596,0.13476,-0.026859
1.0296,0.13237,0.13461,-0.02517
1.0333,0.12031,0.13445,-0.02347
1.0205,0.10974,0.1343,-0.021795
1.013,0.10064,0.13413,-0.019978
1.0555,0.093002,0.13392,-0.017653
1.1545,0.086881,0.13365,-0.014686
1.2761,0.082243,0.13335,-0.011251
1.3822,0.078961,0.13302,-0.0075881
1.4424,0.076918,0.13268,-0.0038226
1.4263,0.076097,0.13234,0
1.3257,0.076918,0.13268,0.0038226
1.1726,0.078961,0.13302,0.0075881
1,0.082243,0.13335,0.011251
0.82978,0.086881,0.13365,0.014686
0.69761,0.093002,0.13392,0.017653
0.64164,0.10064,0.13413,0.019978
0.67819,0.10974,0.1343,0.021795
0.75514,0.12031,0.13445,0.02347
0.79712,0.13237,0.13461,0.02517
0.80677,0.14596,0.13476,0.026859
0.80653,0.16108,0.13492,0.028497
0.80625,0.17772,0.13507,0.030055
0.80622,0.19584,0.13521,0.031507
0.80506,0.21536,0.13534,0.032839
0.80226,0.23621,0.13546,0.034039
0.79762,0.25829,0.13557,0.035096
0.79084,0.28147,0.13566,0.035992
0.78183,0.30564,0.13574,0.036705
0.77077,0.33066,0.1358,0.037203
0.75806,0.35637,0.13583,0.03745
0.74421,0.38262,0.13584,0.037413
0.72948,0.40926,0.13583,0.037064
0.71393,0.43611,0.13578,0.03639
0.69954,0.46301,0.13569,0.035395
0.69245,0.4898,0.13559,0.034104
0.70368,0.51632,0.13545,0.03256
0.74246,0.54243,0.13529,0.030815
0.80388,0.56798,0.13512,0.028926
0.86338,0.59285,0.13494,0.026946
0.90347,0.61691,0.13475,0.024922
0.92706,0.64006,0.13456,0.022886
0.94322,0.66219,0.13437,0.02086
0.95866,0.68323,0.13418,0.018854
0.97433,0.70312,0.13399,0.016877
0.98961,0.72181,0.13381,0.014933
1.0045,0.7393,0.13362,0.013027
1.0191,0.75559,0.13344,0.01117
1.0333,0.77071,0.13327,0.009371
1.0466,0.78474,0.1331,0.0076413
1.0593,0.79776,0.13294,0.0059892
1.0705,0.80991,0.13278,0.0044182
1.0814,0.82136,0.13264,0.0029168
1.0894,0.8323,0.13249,0.0014565
1.104,0.84296,0.13235,0
0.9444,0.32552,0.26855,-0.033299
0.95456,0.30452,0.26833,-0.032298
0.96417,0.28467,0.2681,-0.031161
0.97367,0.26607,0.26784,-0.029898
0.98349,0.2488,0.26756,-0.028522
0.99386,0.23293,0.26727,-0.027046
1.0046,0.21849,0.26696,-0.025492
1.0156,0.2055,0.26665,-0.023891
1.0206,0.19396,0.26634,-0.022278
1.0087,0.18384,0.26603,-0.02069
1.0011,0.1751,0.2657,-0.018966
1.0445,0.16773,0.26529,-0.01676
1.1469,0.16176,0.26476,-0.013945
1.2737,0.15718,0.26415,-0.010685
1.3842,0.15387,0.2635,-0.0072072
1.4451,0.15173,0.26284,-0.0036313
1.4237,0.15074,0.26216,0
1.3099,0.15173,0.26284,0.0036313
1.1414,0.15387,0.2635,0.0072072
0.95585,0.15718,0.26415,0.010685
0.77333,0.16176,0.26476,0.013945
0.62627,0.16773,0.26529,0.01676
0.5497,0.1751,0.2657,0.018966
0.55845,0.18384,0.26603,0.02069
0.63674,0.19396,0.26634,0.022278
0.71874,0.2055,0.26665,0.023891
