Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
195,1.1525,233854,0,-149.637,-1.23092e-08,149.637,0.0918795,22.2801,27.5548,3.64474,35.6224,-0.0148668,0,0.571572,0.571765,93321.1,-0.146719,282.079,19.3311,23.9098,3.16233,30.9091
196,1.15001,233128,0,-154.98,-1.23092e-08,154.98,0.0972426,23.1337,29.4247,3.57382,37.5999,-0.0150449,0,0.591979,0.59217,93004.8,-0.152517,281.731,20.1151,25.5875,3.10742,32.6954
197,1.14527,232004,0,-160.322,-5.3246e-09,160.322,0.100501,23.8288,30.2646,3.59011,38.6866,-0.015223,0,0.612387,0.612576,92539.7,-0.161043,281.483,20.8054,26.4266,3.1345,33.7795
198,1.13914,230304,0,-165.665,-5.3246e-09,165.665,0.109633,24.7487,33.5089,4.70046,41.9218,-0.015401,0,0.632794,0.632981,91812.8,-0.174368,280.775,21.7253,29.4165,4.12621,36.8015
199,1.13312,228632,0,-171.008,2.1305e-09,171.008,0.109492,25.2025,32.5807,5.91533,41.6132,-0.0155791,0,0.653201,0.653387,91146.7,-0.186578,280.216,22.24,28.7539,5.22022,36.724
200,1.12363,227225,0,-176.35,2.1305e-09,176.35,0.113235,25.8122,33.6246,5.23793,42.712,-0.0157572,0,0.673609,0.673793,90564.9,-0.197244,280.78,22.9703,29.9264,4.66117,38.0125
201,1.12135,225915,0,-181.693,2.1305e-09,181.693,0.117308,26.5683,34.8002,5.05888,44.0741,-0.0159353,0,0.694016,0.694199,90019.2,-0.207247,279.655,23.6921,31.0348,4.51124,39.3042
202,1.20511,249494,0,-37.4417,2.61585e-09,37.4417,0.0832007,-0.157739,-33.7667,4.7948,34.1058,-0.0111268,5.42101e-20,0.143017,0.143449,99604.6,-0.031536,287.927,-0.130991,-28.0196,3.97872,28.301
203,1.2084,249957,0,-42.7843,-4.52702e-09,42.7843,0.0495159,3.57818,-19.1311,5.97124,20.3582,-0.0113049,5.42101e-20,0.163424,0.163815,99914,-0.025865,288.035,2.96101,-15.8313,4.94129,16.8467
204,1.20692,249489,0,-48.127,-4.52702e-09,48.127,0.0343321,5.04512,-12.5237,4.0405,14.0934,-0.011483,5.42101e-20,0.183831,0.18419,99762.6,-0.0286402,287.952,4.18015,-10.3766,3.34775,11.6771
205,1.20528,249169,0,-53.4696,-4.52702e-09,53.4696,0.0295042,6.0256,-10.4588,-0.655352,12.0881,-0.0116611,5.42101e-20,0.204239,0.204571,99643.3,-0.0308275,288,4.99933,-8.67741,-0.543796,10.0293
206,1.20371,248748,0,-58.8122,2.45762e-09,58.8122,0.0270444,7.01229,-8.12179,-2.66244,11.0555,-0.0118392,5.42101e-20,0.224646,0.224958,99478.7,-0.0338451,287.899,5.82559,-6.74732,-2.21188,9.18456
207,1.20156,248012,0,-64.1549,2.45762e-09,64.1549,0.0246228,8.01065,-5.46309,-2.62368,10.0449,-0.0120173,5.42101e-20,0.245054,0.245348,99187.7,-0.0391782,287.569,6.66677,-4.54643,-2.18364,8.35967
208,1.20086,247373,0,-69.4975,2.45762e-09,69.4975,0.0235225,9.04053,-2.54755,-1.87459,9.57785,-0.0121954,5.42101e-20,0.265461,0.265741,98933.9,-0.043832,287.002,7.52829,-2.12125,-1.56111,7.97571
