Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
3363,1.36739,297357,0,160.385,-31.9781,163.542,0.231223,0.387959,108.623,-14.1693,109.544,0.0120502,-0.122147,-0.612625,0.624799,117186,0.29075,298.471,0.28631,79.3983,-10.2764,80.0611
3364,1.31133,280058,0,165.727,-31.8618,168.762,0.185968,0.487597,83.3112,-10.215,83.9366,0.0118717,-0.121703,-0.633032,0.644734,110949,0.176414,294.709,0.372647,63.524,-7.78716,64.0006
3365,1.30743,280828,0,162.741,-31.8274,165.824,0.209702,0.47383,93.9696,-10.5586,94.5621,0.0119711,-0.121572,-0.621624,0.633513,110949,0.176414,295.614,0.362503,71.839,-8.0745,72.2922
3366,1.3722,295837,0,165.727,-32.0586,168.8,0.187082,0.413496,88.0928,-10.998,88.7776,0.0118725,-0.122455,-0.633032,0.644876,117186,0.29075,297.44,0.302929,64.1834,-8.00979,64.682
3367,1.31126,280242,0,167.18,-31.8274,170.182,0.191806,0.49871,85.9667,-10.6669,86.6274,0.0118231,-0.121572,-0.63858,0.650157,110949,0.176414,294.747,0.380426,65.5151,-8.12671,66.0183
3368,1.37273,296475,0,171.07,-31.9202,174.023,0.206904,0.463709,97.3875,-12.2487,98.1558,0.0116938,-0.121926,-0.653439,0.66482,117186,0.29075,297.318,0.339501,70.9563,-8.9349,71.5174
3369,1.43511,312185,0,171.07,-32.0948,174.055,0.204911,0.407173,101.279,-12.2569,102.019,0.0116945,-0.122593,-0.653439,0.664943,123423,0.405086,299.557,0.284763,70.5792,-8.54804,71.0956
3370,1.30433,281381,0,176.413,-31.8473,179.264,0.227199,0.427107,100.683,-16.5781,102.039,0.0115154,-0.121648,-0.673847,0.684836,110949,0.176414,296.272,0.327996,77.3417,-12.7268,78.3825
3371,1.30608,281300,0,174.982,-31.8274,177.853,0.224808,0.447219,99.9825,-15.4677,101.173,0.011563,-0.121572,-0.668384,0.679448,110949,0.176414,295.923,0.342164,76.6024,-11.8683,77.5171
3372,1.36554,296422,0,176.413,-31.9632,179.285,0.205211,0.409005,94.8184,-16.1816,96.1901,0.0115159,-0.12209,-0.673847,0.684915,117186,0.29075,298.748,0.30168,70.0367,-11.9165,71.0439
3373,1.42676,311463,0,176.413,-32.0791,179.306,0.183223,0.390902,88.9542,-15.7851,90.3447,0.0115164,-0.122533,-0.673847,0.684994,123423,0.405086,301.224,0.275365,62.7317,-11.1063,63.7079
3374,1.30903,280788,0,178.777,-31.8274,181.588,0.20846,0.491772,92.924,-12.9283,93.8203,0.0114365,-0.121572,-0.682879,0.69371,110949,0.176414,295.267,0.375054,71.0964,-9.9193,71.786
3375,1.36894,295780,0,181.755,-31.9629,184.544,0.18488,0.491854,87.1035,-10.2661,87.7078,0.0113378,-0.122089,-0.694254,0.704999,117186,0.29075,298.069,0.361959,63.5526,-7.44977,63.9888
3376,1.42094,311710,0,181.755,-32.1357,184.574,0.190957,0.393092,93.7545,-12.8419,94.6307,0.0113385,-0.122749,-0.694254,0.705113,123423,0.405086,302.574,0.276929,65.9726,-9.03227,66.5886
3377,1.37255,298147,0,186.718,-31.8274,189.411,0.25038,0.558459,118.716,-6.61044,118.902,0.0111718,-0.121572,-0.71321,0.723583,117186,0.29075,297.419,0.406932,86.4321,-4.81962,86.5673
3378,1.42743,312907,0,187.098,-32.0027,189.815,0.223732,0.49501,110.293,-7.67075,110.56,0.0111599,-0.122241,-0.714661,0.725127,123423,0.405086,301.11,0.348444,77.5805,-5.35504,77.7659
3379,1.25531,263186,0,85.5878,-31.7846,91.2991,0.138557,0.338991,58.3234,-11.4717,59.4419,0.0145426,-0.121408,-0.326921,0.34904,104712,0.0620779,290.584,0.270273,46.4586,-9.13601,47.3491
3380,1.25379,263155,0,96.273,-31.7072,101.36,0.137,0.403933,58.0963,-8.5773,58.7274,0.0141857,-0.121112,-0.367736,0.387426,104712,0.0620779,290.938,0.323018,46.3352,-6.81865,46.8353
3381,1.25111,263606,0,101.616,-31.67,106.437,0.157564,0.362425,65.8968,-13.9858,67.3656,0.0140073,-0.120971,-0.388143,0.406799,104712,0.0620779,291.559,0.290644,52.6424,-11.1223,53.8053
3382,1.25055,263064,0,112.301,-31.6712,116.681,0.132326,0.475162,56.2543,-6.83456,56.6699,0.0136511,-0.120975,-0.428958,0.445899,104712,0.0620779,291.695,0.380465,44.9655,-5.47282,45.2989
3383,1.246,263506,0,117.644,-31.612,121.817,0.15352,0.459074,64.8867,-9.34552,65.5579,0.0134725,-0.120749,-0.449365,0.465501,104712,0.0620779,292.763,0.369357,52.1206,-7.4979,52.6585
3384,1.24502,263463,0,122.986,-31.5362,126.965,0.151589,0.491128,63.9023,-10.4752,64.7571,0.0132938,-0.120459,-0.469773,0.485153,104712,0.0620779,292.993,0.395336,51.3309,-8.41205,52.0171
3385,1.24085,263790,0,128.329,-31.4913,132.136,0.165431,0.523267,70.0706,-8.3619,70.5697,0.0131153,-0.120288,-0.49018,0.504894,104712,0.0620779,293.978,0.422313,56.4451,-6.718,56.8451
3386,1.23605,264507,0,132.499,-31.4441,136.179,0.192274,0.531765,81.5984,-6.34329,81.8463,0.0129759,-0.120108,-0.506109,0.520328,104712,0.0620779,295.113,0.430216,66.0128,-5.13217,66.2134
3387,1.23995,264138,0,139.014,-31.5498,142.549,0.179386,0.485315,75.2536,-12.4557,76.279,0.0127596,-0.120511,-0.530995,0.544648,104712,0.0620779,294.222,0.392918,60.8522,-10.0181,61.6726
3388,1.23501,264704,0,133.972,-31.4441,137.613,0.199723,0.52726,84.7379,-6.31982,84.9749,0.0129268,-0.120108,-0.511735,0.5258,104712,0.0620779,295.361,0.426919,68.6076,-5.12214,68.7999
3389,1.23846,263844,0,144.319,-31.4441,147.704,0.167834,0.573559,70.7251,-10.5599,71.5114,0.0125819,-0.120108,-0.551257,0.56433,104712,0.0620779,294.54,0.463117,57.1084,-8.52682,57.7433
3390,1.23854,263764,0,155.042,-31.5255,158.215,0.164607,0.61925,69.8335,-6.15367,70.1069,0.0122251,-0.120419,-0.592217,0.604459,104712,0.0620779,294.54,0.501347,56.4134,-4.96511,56.6337
3391,1.2383,263738,0,149.849,-31.4441,153.113,0.163489,0.579162,68.4048,-13.0736,69.6454,0.0123975,-0.120108,-0.572381,0.584978,104712,0.0620779,294.577,0.467731,55.2416,-10.5555,56.243
3392,1.23553,264119,0,156.6,-31.4441,159.726,0.177431,0.62715,75.214,-7.89365,75.6296,0.0121725,-0.120108,-0.598168,0.610228,104712,0.0620779,295.228,0.508142,60.7687,-6.34793,61.1014
3393,1.3033,281256,0,160.385,-31.7417,163.496,0.223276,0.482509,99.8741,-11.2949,100.512,0.0120489,-0.121244,-0.612625,0.624623,110949,0.176414,296.554,0.370877,76.5838,-8.67503,77.0745
3394,1.23034,264761,0,171.07,-31.4545,173.938,0.201683,0.625273,85.0883,-9.85582,85.6595,0.0116903,-0.120147,-0.653439,0.664496,104712,0.0620779,296.485,0.508559,69.1536,-8.00787,69.6176
3395,1.23309,264468,0,168.456,-31.4441,171.365,0.19128,0.635921,80.7116,-9.80867,81.3079,0.0117773,-0.120108,-0.643454,0.654673,104712,0.0620779,295.825,0.515699,65.4726,-7.95467,65.9561
3396,1.30472,280671,0,171.07,-31.7084,173.984,0.205959,0.535718,92.0549,-11.4822,92.7698,0.0116924,-0.121117,-0.653439,0.664672,110949,0.176414,296.242,0.413251,70.5175,-8.77907,71.0631
3397,1.23008,264736,0,171.454,-31.4441,174.314,0.200859,0.633112,84.7232,-9.75893,85.2857,0.0116774,-0.120108,-0.654907,0.665932,104712,0.0620779,296.545,0.51463,68.8827,-7.93481,69.3401
3398,1.22725,264892,0,181.755,-31.4899,184.463,0.206109,0.6401,86.7799,-9.55445,87.3066,0.0113344,-0.120283,-0.694254,0.704688,104712,0.0620779,297.26,0.522622,70.8131,-7.80306,71.2437
3399,1.22604,264876,0,180.482,-31.4441,183.201,0.205553,0.658596,86.55,-9.64529,87.0883,0.0113764,-0.120108,-0.689392,0.699869,104712,0.0620779,297.527,0.537118,70.6395,-7.87186,71.0788
3400,1.31025,280022,0,181.755,-31.7675,184.511,0.184728,0.581871,82.7557,-8.47833,83.1909,0.0113367,-0.121343,-0.694254,0.70487,110949,0.176414,295.019,0.445321,63.28,-6.49164,63.6136
3401,1.22422,265106,0,183.024,-31.4441,185.706,0.21289,0.655524,89.6865,-9.85111,90.2283,0.0112917,-0.120108,-0.699101,0.709433,104712,0.0620779,297.955,0.535459,73.2271,-8.04608,73.6698
3402,1.29458,281638,0,187.098,-31.5618,189.741,0.233281,0.638381,104.454,-9.08209,104.85,0.0111569,-0.120557,-0.714661,0.724844,110949,0.176414,298.581,0.495635,80.4667,-7.08144,80.7792
3403,1.37134,298285,0,187.098,-31.8124,189.783,0.254487,0.562204,120.569,-6.6323,120.753,0.011159,-0.121514,-0.714661,0.725004,117186,0.29075,297.693,0.410389,87.8841,-4.84741,88.0186
3404,1.25841,262285,0,97.1585,-30.9825,101.979,0.0829642,0.668234,34.6099,-8.47844,35.6396,0.0141475,-0.118345,-0.371118,0.389787,104712,0.0620779,289.869,0.531021,27.4988,-6.73595,28.3168
