Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
105,1.00038,0,79.8919,-0,1.67475e-07,0,0,0,0,0,0,0.00413797,-0.0110919,0,0.0118386,31.9568,0.421445,0.00446872,-0.00580298,0,0.00732421,1.00625,0,0,0,0,0.666365
106,1.00121,0,79.9672,-0,1.6749e-07,0,0,0,0,0,0,0.00351532,-0.0102467,0,0.0108329,31.9869,0.481709,0.00417647,-0.00591175,0,0.00723821,1.00637,0,0,0,0,0.666961
107,1.00203,0,80.0407,-0,1.67503e-07,0,0,0,0,0,0,0.00296944,-0.00943789,0,0.00989401,32.0163,0.540486,0.00386124,-0.00597273,0,0.00711215,1.00647,0,0,0,0,0.665951
108,1.00284,0,80.1113,-0,1.67513e-07,0,0,0,0,0,0,0.00249343,-0.00866602,0,0.0090176,32.0445,0.596974,0.00352785,-0.00597949,0,0.00694263,1.00654,0,0,0,0,0.663092
109,1.00362,0,80.1781,-0,1.67521e-07,0,0,0,0,0,0,0.00208062,-0.0079314,0,0.00819976,32.0713,0.650451,0.00318298,-0.00592844,0,0.00672888,1.00661,0,0,0,0,0.65823
110,1.00435,0,80.2405,-0,1.67526e-07,0,0,0,0,0,0,0.00172462,-0.00723408,0,0.00743681,32.0962,0.70033,0.00283437,-0.00581897,0,0.00647257,1.00665,0,0,0,0,0.651289
111,1.00504,0,80.2978,-0,1.6753e-07,0,0,0,0,0,0,0.00141938,-0.00657386,0,0.00672535,32.1191,0.746173,0.00248992,-0.00565323,0,0.00617727,1.00668,0,0,0,0,0.642259
112,1.00567,0,80.3497,-0,1.67533e-07,0,0,0,0,0,0,0.00115919,-0.0059503,0,0.00606216,32.1399,0.787707,0.002157,-0.00543565,0,0.00584799,1.0067,0,0,0,0,0.631177
113,1.00624,0,80.3961,-0,1.67534e-07,0,0,0,0,0,0,0.000938764,-0.00536271,0,0.00544426,32.1584,0.824809,0.00184192,-0.00517241,0,0.00549058,1.00671,0,0,0,0,0.618111
114,1.00675,0,80.437,-0,1.67534e-07,0,0,0,0,0,0,0.000753189,-0.00481018,0,0.00486879,32.1748,0.857498,0.00154965,-0.0048708,0,0.00511137,1.00671,0,0,0,0,0.603149
