Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
1.0056,0,0,0,80.424,0,32.169,1.0077,0,0.84692,0,0,0,1.68E-07,0.0032606,-0.00051034,0,0,0.41463,0,0.10631,-0.047584,0
1.0059,0,0,0,80.456,0,32.182,1.0078,0,0.87261,0,0,0,1.68E-07,0.0030929,-0.00052531,0,0,0.40461,0,0.098386,-0.04629,0
1.0063,0,0,0,80.487,0,32.195,1.0078,0,0.89722,0,0,0,1.68E-07,0.0029146,-0.00053539,0,0,0.3936,0,0.090925,-0.04497,0
1.0066,0,0,0,80.516,0,32.206,1.0078,0,0.92043,0,0,0,1.68E-07,0.0027238,-0.0005396,0,0,0.38138,0,0.083912,-0.043631,0
1.0069,0,0,0,80.542,0,32.217,1.0079,0,0.94186,0,0,0,1.68E-07,0.0025186,-0.00053682,0,0,0.36767,0,0.07733,-0.042277,0
1.0072,0,0,0,80.566,0,32.227,1.0078,0,0.9611,0,0,0,1.68E-07,0.0022972,-0.0005257,0,0,0.35211,0,0.071158,-0.040913,0
1.0075,0,0,0,80.587,0,32.235,1.0078,0,0.97767,0,0,0,1.68E-07,0.0020574,-0.00050464,0,0,0.33426,0,0.06538,-0.039542,0
1.0078,0,0,0,80.604,0,32.242,1.0078,0,0.99102,0,0,0,1.68E-07,0.0017971,-0.00047177,0,0,0.31345,0,0.059977,-0.03817,0
1.008,0,0,0,80.616,0,32.246,1.0077,0,1.0005,0,0,0,1.68E-07,0.0015138,-0.0004248,0,0,0.28874,0,0.05493,-0.036799,0
1.0082,0,0,0,80.622,0,32.249,1.0076,0,1.0055,0,0,0,1.68E-07,0.0012045,-0.00036098,0,0,0.2586,0,0.050222,-0.035433,0
1.0083,0,0,0,80.621,0,32.249,1.0075,0,1.0051,0,0,0,1.68E-07,0.00086554,-0.00027684,0,0,0.22019,0,0.045837,-0.034074,0
1.0083,0,0,0,80.613,0,32.245,1.0074,0,0.99847,0,0,0,1.68E-07,0.00049237,-0.00016797,0,0,0.16688,0,0.041756,-0.032725,0
1.0083,0,0,0,80.596,0,32.238,1.0072,0,0.98456,0,0,0,1.68E-07,7.96E-05,-2.90E-05,0,0,0.067465,0,0.037964,-0.031388,0
1.0081,0,0,0,80.568,0,32.227,1.007,0,0.96223,0,0,0,1.68E-07,-0.00037816,0.00014664,0,0,0.14788,0,0.034445,-0.030065,0
1.0078,0,0,0,80.528,0,32.211,1.0068,0,0.93019,0,0,0,1.68E-07,-0.00088656,0.00036649,0,0,0.22788,0,0.031184,-0.028759,0
1.0074,0,0,0,80.474,0,32.19,1.0065,0,0.88701,0,0,0,1.68E-07,-0.0014514,0.00063969,0,0,0.29361,0,0.028167,-0.02747,0
1.0068,0,0,0,80.404,0,32.162,1.0063,0,0.83113,0,0,0,1.67E-07,-0.0020785,0.00097707,0,0,0.35407,0,0.02538,-0.026201,0
1.006,0,0,0,80.316,0,32.126,1.006,0,0.76083,0,0,0,1.67E-07,-0.0027739,0.0013914,0,0,0.41249,0,0.022809,-0.024952,0
1.0049,0,0,0,80.208,0,32.083,1.0057,0,0.67427,0,0,0,1.67E-07,-0.0035432,0.0018976,0,0,0.4705,0,0.020443,-0.023724,0
1.0036,0,0,0,80.077,0,32.031,1.0054,0,0.56952,0,0,0,1.67E-07,-0.0043908,0.0025127,0,0,0.5291,0,0.018269,-0.02252,0
1.002,0,0,0,79.921,0,31.968,1.005,0,0.44461,0,0,0,1.67E-07,-0.0053197,0.0032558,0,0,0.5889,0,0.016276,-0.021339,0
0.99997,0,0,0,79.737,0,31.895,1.0047,0,0.29744,0,0,0,1.67E-07,-0.0063301,0.0041478,0,0,0.6503,0,0.014452,-0.020184,0
0.99761,0,0,0,79.523,0,31.809,1.0044,0,0.12619,0,0,0,1.67E-07,-0.0074185,0.0052104,0,0,0.71352,0,0.012789,-0.019055,0
0.99485,0,0,0,79.276,0,31.711,1.0041,0,-0.070898,0,0,0,1.67E-07,-0.008577,0.0064657,0,0,0.77866,0,0.011275,-0.017953,0
0.99165,0,0,0,78.996,0,31.598,1.0037,0,-0.2954,0,0,0,1.67E-07,-0.0097918,0.0079344,0,0,0.84565,0,0.0099023,-0.016879,0
0.988,0,0,0,78.68,0,31.472,1.0034,0,-0.54804,0,0,0,1.67E-07,-0.011044,0.0096344,0,0,0.91435,0,0.008661,-0.015834,0
0.9839,0,0,0,78.328,0,31.331,1.0031,0,-0.8295,0,0,0,1.67E-07,-0.012307,0.011579,0,0,0.9845,0,0.0075428,-0.01482,0
0.97934,0,0,0,77.941,0,31.176,1.0028,0,-1.1392,0,0,0,1.67E-07,-0.013549,0.013774,0,0,1.0557,0,0.0065393,-0.013838,0
