"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         38,           9,      -6.903515977,      -3.803395439,      -3.955785406,      -1.420812107,       -2.75400521,      0.9329898399,      0.1426160455,     -0.6101500109,                 0,                 0,                 0,     -0.1598978088,      0.2056128229,     -0.5919001092,                 0,      -4.278270434,    0.003006037951,     -0.3012777764,     -0.2764408945,     -0.2163606448,     -0.3325427172,      -0.799479199,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,           9,      -6.891179977,       -3.78822396,      -3.918361491,      -1.411892394,      -2.787381309,      0.9329898399,      0.1441592357,     -0.6372084751,                 0,                 0,                 0,     -0.1384594291,       0.209975939,      -0.618649037,                 0,      -4.420171015,   0.0008241184094,     -0.2905804794,     -0.2568012718,     -0.2221467646,     -0.3101213044,     -0.8477940596,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,           9,       -6.89683146,      -3.781410566,      -3.884632425,      -1.425572962,      -2.806090469,      0.9329898399,      0.1430660258,     -0.6312324806,                 0,                 0,                 0,     -0.1070676551,      0.2082640563,     -0.6128200512,                 0,      -4.412175966,    0.002102924611,     -0.2955990732,     -0.2487907768,     -0.2297273064,     -0.3058071326,     -0.8704965231,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,           9,      -6.909055508,      -3.782238638,      -3.856710107,      -1.448101051,      -2.838683273,      0.9329898399,      0.1400063249,     -0.6103533344,                 0,                 0,                 0,    -0.07475376346,      0.2030386517,      -0.592375109,                 0,      -4.359469722,    0.003904270877,     -0.3003976969,     -0.2512934951,     -0.2417786844,     -0.3009276854,      -0.896743056,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,           9,      -6.915140133,      -3.786604282,      -3.832120023,      -1.461408571,      -2.880068538,      0.9329898399,      0.1372576071,     -0.5901381738,                 0,                 0,                 0,    -0.04969714144,      0.1981919319,     -0.5725580084,                 0,      -4.299493386,    0.006545458599,     -0.2971042311,     -0.2596225955,     -0.2523510798,     -0.2831938785,     -0.9217851149,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           9,      -6.910229883,        -3.7888324,      -3.811620762,       -1.45734121,      -2.896630195,      0.9329898399,      0.1360331148,     -0.5805453889,                 0,                 0,                 0,    -0.03523396081,      0.1959714285,     -0.5631457681,                 0,      -4.267676953,    0.007833995163,     -0.2860915147,     -0.2676589963,     -0.2608484551,     -0.2528744412,     -0.9135238284,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           9,      -6.900533081,      -3.785744873,      -3.794505401,      -1.443154004,      -2.894664497,      0.9329898399,      0.1356874394,     -0.5832232794,                 0,                 0,                 0,    -0.02924805721,      0.1959075625,     -0.5658451217,                 0,      -4.298284956,    0.009136974386,      -0.275551699,     -0.2725090607,     -0.2664324305,     -0.2242958563,      -0.881111541,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -6.895948589,      -3.782480909,       -3.78350837,      -1.433451104,      -2.922180309,      0.9329898399,      0.1353174501,     -0.5982989808,                 0,                 0,                 0,    -0.02939163693,        0.19711544,     -0.5808769113,                 0,      -4.421447346,    0.009085391779,     -0.2747655899,     -0.2796071289,     -0.2733939527,     -0.2142276366,     -0.8787280637,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,           9,      -6.893340999,      -3.779563827,      -3.773585459,      -1.425336892,      -2.929538811,      0.9329898399,      0.1337448651,     -0.6141312559,                 0,                 0,                 0,    -0.03132683875,      0.1972063931,     -0.5967868354,                 0,      -4.591811847,     0.01042408465,     -0.2718905508,     -0.2883562402,     -0.2763034795,     -0.2050187821,     -0.8663502106,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,           9,      -6.894373228,      -3.775964683,      -3.763350865,      -1.421503274,      -2.927901933,      0.9329898399,      0.1308940927,     -0.6181103734,                 0,                 0,                 0,    -0.03149265277,      0.1947871687,     -0.6010421417,                 0,      -4.722217485,     0.01041125366,     -0.2752453576,     -0.2969777001,      -0.275958017,       -0.20806555,     -0.8649881429,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,           9,      -6.895471836,      -3.775347481,      -3.755696009,      -1.419457994,      -2.921730366,      0.9329898399,      0.1271263789,     -0.6066610767,                 0,                 0,                 0,    -0.02913548016,      0.1898433174,     -0.5900493988,                 0,        -4.7721101,     0.01179089111,     -0.2797101434,     -0.3095864861,     -0.2766695846,     -0.2176527915,     -0.8827999956,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,           9,      -6.899826163,      -3.774176142,      -3.750783655,      -1.420430365,      -2.913687301,      0.9329898399,      0.1227893688,     -0.5827705709,                 0,                 0,                 0,    -0.02497251887,       0.183032828,     -0.5667431087,                 0,      -4.746099571,     0.01181890196,     -0.2905072743,     -0.3239749274,     -0.2797296555,     -0.2367272582,     -0.9171172145,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,           9,      -6.905484447,      -3.774158339,      -3.750870536,      -1.422938469,      -2.900017521,      0.9329898399,      0.1181746876,     -0.5504670567,                 0,                 0,                 0,      -0.020136699,      0.1750667898,     -0.5350989221,                 0,      -4.658079223,     0.01186602283,     -0.3031998589,     -0.3427439668,     -0.2873577167,     -0.2601378137,     -0.9555143527,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,           9,      -6.913095451,      -3.770016599,      -3.752533072,      -1.427657255,      -2.889429375,      0.9329898399,      0.1135035886,     -0.5093807358,                 0,                 0,                 0,    -0.01422018145,      0.1661265896,     -0.4947259392,                 0,      -4.487794106,     0.01193029713,     -0.3233546024,     -0.3609833285,     -0.2971937552,     -0.2922624196,      -1.001283746,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,           9,      -6.925323333,      -3.763438871,      -3.758320848,      -1.437100805,      -2.869203717,      0.9329898399,      0.1093679116,     -0.4610457544,                 0,                 0,                 0,   -0.008259546831,      0.1569611869,     -0.4470880378,                 0,      -4.215548672,     0.01200905828,     -0.3533178504,     -0.3796076697,     -0.3116499162,     -0.3325000306,      -1.037248176,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,           9,      -6.939811986,      -3.753368843,      -3.767434332,      -1.447338388,      -2.857647415,      0.9329898399,      0.1059555254,     -0.4051708898,                 0,                 0,                 0,   -0.002122484892,      0.1477269804,      -0.391875953,                 0,      -3.823971315,      0.0107272544,      -0.388737392,     -0.3969566715,      -0.330506007,     -0.3743005515,      -1.078900169,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
