Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
12,1.50115,298534,0,-251.327,32.4064,253.408,0.821395,0.361467,-377.284,7.53636,377.359,0.0090195,0.123784,0.96,0.96799,100439,-0.0162447,233.083,0.242921,-251.328,5.01059,251.378
13,1.20145,247951,0,-251.327,20.8917,252.194,0.0603737,10.5308,-20.7856,8.03181,24.6465,0.00820373,0.0798004,0.96,0.963346,99079.1,-0.0411698,287.282,8.7651,-17.3005,6.68511,20.514
14,1.21105,250876,0,-251.327,22.6904,252.35,0.0693064,8.92717,-25.7948,8.43119,28.5684,0.0084366,0.0866709,0.96,0.963941,100215,-0.0203386,288.272,7.37143,-21.2995,6.96185,23.5897
15,1.19198,245161,0,-251.327,18.9198,252.039,0.0535079,12.3488,-16.0549,7.60949,21.6369,0.0079048,0.0722684,0.96,0.962749,97985.7,-0.0612135,286.367,10.3599,-13.4691,6.38387,18.1521
16,1.18299,242466,0,-251.327,16.7957,251.888,0.049436,14.4427,-11.5346,7.11608,19.806,0.00752948,0.0641548,0.96,0.962171,96920,-0.080748,285.405,12.2087,-9.75029,6.01526,16.7423
17,1.17267,239398,0,-251.327,14.5503,251.748,0.0491593,16.8881,-6.69362,7.04489,19.4844,0.00706782,0.0555782,0.96,0.961633,95694.5,-0.103212,284.276,14.4014,-5.70797,6.00747,16.6154
18,1.16163,236306,0,-251.327,12.2239,251.625,0.0532798,19.7403,-2.37909,6.37725,20.8808,0.00651087,0.0466918,0.96,0.961157,94447.5,-0.126072,283.24,16.9937,-2.04806,5.48986,17.9755
19,1.15168,233481,0,-251.327,9.86298,251.521,0.0619448,23.2029,2.57313,5.67104,24.0241,0.00585148,0.0376738,0.96,0.960757,93292.1,-0.147251,282.191,20.1471,2.2342,4.92406,20.86
20,1.11875,225603,0,-251.327,-3.98847,251.359,0.177775,65.9336,8.72895,2.04553,66.5404,-0.00134009,-0.0152348,0.96,0.960122,89449.8,-0.217684,278.534,58.9358,7.80282,1.82837,59.4781
21,1.12079,225800,0,-251.327,-2.50445,251.34,0.156582,57.7599,10.4763,2.24164,58.7451,-0.000133445,-0.00956629,0.96,0.960048,89704.2,-0.213021,278.816,51.5352,9.3473,1.99996,52.4142
22,1.1352,230895,0,-251.327,-5.2836,251.383,0.193895,73.8094,-2.23367,2.80261,73.8964,-0.0025499,-0.0201819,0.96,0.960216,91396,-0.182009,280.468,65.0188,-1.96763,2.46853,65.0954
23,1.14449,233830,0,-251.327,-6.39854,251.409,0.217123,82.8561,-9.97014,2.74115,83.4988,-0.00374294,-0.0244406,0.96,0.960318,92313.5,-0.16519,280.984,72.3967,-8.70943,2.39454,72.958
24,1.14848,235860,0,-251.327,-7.34626,251.435,0.244009,92.4894,-17.808,3.37722,94.2487,-0.00490339,-0.0280606,0.96,0.960423,92796.9,-0.156328,281.476,80.5322,-15.5056,2.94068,82.064
25,1.15859,241704,0,-251.327,-8.14217,251.459,0.2716,100.614,-34.3817,5.24909,106.456,-0.00601989,-0.0311008,0.96,0.960522,94724.9,-0.120986,284.816,86.8419,-29.6755,4.53028,91.884
26,1.18761,251245,0,-251.327,-8.80258,251.482,0.305017,112.625,-49.4836,3.44753,123.065,-0.00708562,-0.0336234,0.96,0.960615,97946.5,-0.0619312,287.303,94.8358,-41.6567,2.90552,103.622
27,1.22417,263871,0,-251.327,-9.34351,251.501,0.343923,122.606,-75.1119,5.97647,143.909,-0.00809768,-0.0356896,0.96,0.960697,102165,0.0153942,290.73,100.156,-61.3575,4.88069,117.558
28,1.26259,280536,0,-251.327,-9.77985,251.518,0.391894,126.291,-115.14,1.10088,170.903,-0.00905613,-0.0373563,0.96,0.960769,107588,0.114799,296.844,100.024,-91.1929,0.871802,135.358
29,1.30153,292708,0,-251.327,-10.1247,251.531,0.444374,139.823,-142.573,6.24391,199.791,-0.00996325,-0.0386735,0.96,0.96083,110949,0.17641,296.961,107.43,-109.543,4.79666,153.506
30,1.41944,331484,0,-251.327,-10.3891,251.542,0.512419,135.751,-214.48,4.16711,253.865,-0.0108216,-0.0396835,0.96,0.960881,123513,0.406727,303.128,95.6371,-151.102,2.93573,178.849
31,1.4164,334767,0,-251.327,-10.5819,251.55,0.579655,130.263,-253.774,13.178,285.558,-0.0116317,-0.0404199,0.96,0.960921,122392,0.386173,301.02,91.9688,-179.166,9.30536,201.607
32,1.54155,379255,0,-251.327,-10.7104,251.556,0.648772,91.5602,-338.9,5.53369,351.094,-0.0123885,-0.0409106,0.96,0.960951,135708,0.630283,306.676,59.4024,-219.844,3.59107,227.757
33,1.54776,375703,0,-251.327,-10.7821,251.559,0.708209,46.3259,-375.576,2.69399,378.432,-0.0130774,-0.0411845,0.96,0.960972,131775,0.558174,296.586,29.9289,-242.654,1.73191,244.499
34,1.59389,391610,0,-251.327,-10.8079,251.56,0.727975,-11.8179,-401.392,5.11751,401.598,-0.0136781,-0.041283,0.96,0.960985,136404,0.643024,298.128,-7.42517,-251.836,3.21024,251.966
35,1.48492,351510,0,-251.327,-10.8021,251.559,0.734649,-71.806,-363.148,1.58396,370.183,-0.0141769,-0.0412612,0.96,0.960991,122147,0.381685,286.519,-48.3598,-244.546,1.06243,249.284
