        +------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         262|  2.5405e-01|   -7.532092|   -9.494133|    0.991821|    0.023736|    0.008301|
|         263|  2.5425e-01|   -7.532535|   -9.495907|    0.991588|    0.023715|    0.008239|
|         264|  2.5435e-01|   -7.532697|   -9.496054|    0.991335|    0.023691|    0.008171|
|         265|  2.5442e-01|   -7.532556|   -9.494888|    0.991061|    0.023663|    0.008096|
|         266|  2.5459e-01|   -7.532097|   -9.492488|    0.990763|    0.023631|    0.008015|
|         267|  2.5482e-01|   -7.531326|   -9.489097|    0.990441|    0.023596|    0.007928|
|         268|  2.5500e-01|   -7.530277|   -9.484873|    0.990096|    0.023558|    0.007836|
|         269|  2.5524e-01|   -7.529013|   -9.480048|    0.989731|    0.023518|    0.007740|
|         270|  2.5548e-01|   -7.527628|   -9.474698|    0.989347|    0.023475|    0.007642|
|         271|  2.5568e-01|   -7.526233|   -9.469000|    0.988949|    0.023432|    0.007542|
|         272|  2.5591e-01|   -7.524948|   -9.462876|    0.988541|    0.023389|    0.007442|
|         273|  2.5621e-01|   -7.523888|   -9.456428|    0.988127|    0.023346|    0.007343|
|         274|  2.5634e-01|   -7.523155|   -9.449730|    0.987712|    0.023305|    0.007246|
|         275|  2.5649e-01|   -7.522829|   -9.442835|    0.987300|    0.023266|    0.007153|
|         276|  2.5658e-01|   -7.522963|   -9.435729|    0.986893|    0.023229|    0.007064|
|         277|  2.5671e-01|   -7.523583|   -9.428297|    0.986496|    0.023195|    0.006979|
|         278|  2.5686e-01|   -7.524690|   -9.420686|    0.986110|    0.023164|    0.006899|
|         279|  2.5701e-01|   -7.526258|   -9.413022|    0.985736|    0.023136|    0.006823|
|         280|  2.5722e-01|   -7.528245|   -9.405324|    0.985374|    0.023111|    0.006752|
|         281|  2.5744e-01|   -7.530589|   -9.397566|    0.985024|    0.023089|    0.006684|
|         282|  2.5757e-01|   -7.533218|   -9.389779|    0.984685|    0.023069|    0.006619|
|         283|  2.5762e-01|   -7.536051|   -9.382024|    0.984354|    0.023051|    0.006557|
|         284|  2.5770e-01|   -7.539004|   -9.374298|    0.984030|    0.023034|    0.006496|
|         285|  2.5789e-01|   -7.541988|   -9.366577|    0.983710|    0.023018|    0.006435|
|         286|  2.5795e-01|   -7.544917|   -9.358947|    0.983392|    0.023003|    0.006374|
|         287|  2.5813e-01|   -7.547709|   -9.351425|    0.983073|    0.022987|    0.006313|
|         288|  2.5818e-01|   -7.550289|   -9.344024|    0.982750|    0.022971|    0.006250|
|         289|  2.5820e-01|   -7.552592|   -9.336819|    0.982421|    0.022954|    0.006185|
|         290|  2.5824e-01|   -7.554567|   -9.329822|    0.982086|    0.022936|    0.006118|
|         291|  2.5826e-01|   -7.556180|   -9.322948|    0.981741|    0.022917|    0.006049|
