Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
72,0.771845,2.35119,1.11979,0.968947,-0.0656901,0,0.971171,0.16504,-0.0604405,0,0.175759,0.696079,-0.678394,0.901838,1.25537,-0.0851078,0,1.25825
73,0.776036,2.3624,1.11362,0.969151,-0.0760847,0,0.972133,0.15349,-0.0595977,0,0.164654,0.701405,-0.666506,0.903831,1.24885,-0.0980428,0,1.25269
74,0.780661,2.37478,1.10686,0.969214,-0.0875463,0,0.97316,0.14229,-0.0586545,0,0.153905,0.707288,-0.653376,0.906011,1.24153,-0.112144,0,1.24658
75,0.786048,2.38918,1.09899,0.969102,-0.100195,0,0.974268,0.13144,-0.057606,0,0.143509,0.71416,-0.638036,0.908545,1.23288,-0.127467,0,1.23945
76,0.792715,2.40699,1.08935,0.968868,-0.11417,0,0.975572,0.12095,-0.0564482,0,0.133474,0.722673,-0.619034,0.911643,1.22222,-0.144024,0,1.23067
77,0.800918,2.42888,1.0776,0.968416,-0.129637,0,0.977054,0.11085,-0.0551797,0,0.123825,0.733167,-0.59561,0.915408,1.20913,-0.16186,0,1.21992
78,0.810508,2.45436,1.06372,0.967315,-0.146695,0,0.978375,0.10113,-0.053795,0,0.114548,0.745543,-0.567984,0.919847,1.19347,-0.180991,0,1.20711
79,0.821495,2.48349,1.04787,0.965449,-0.165535,0,0.979537,0.09181,-0.0522923,0,0.105658,0.759797,-0.536167,0.924896,1.17523,-0.201505,0,1.19238
80,0.834002,2.51656,1.02997,0.962592,-0.186343,0,0.980463,0.0829,-0.0506693,0,0.0971586,0.776097,-0.499784,0.93057,1.15418,-0.223432,0,1.17561
81,0.848177,2.55392,1.00973,0.958297,-0.209261,0,0.980879,0.0744,-0.048922,0,0.0890433,0.794701,-0.458256,0.936952,1.12983,-0.246719,0,1.15646
82,0.864282,2.59624,0.986894,0.952168,-0.234496,0,0.980618,0.06633,-0.0470509,0,0.0813232,0.815972,-0.410778,0.944104,1.10169,-0.271318,0,1.1346
83,0.882495,2.64389,0.961131,0.943525,-0.262147,0,0.979265,0.05869,-0.045053,0,0.0739884,0.840225,-0.35664,0.952102,1.06916,-0.297052,0,1.10966
84,0.903081,2.6975,0.932066,0.931573,-0.292288,0,0.97635,0.05149,-0.0429278,0,0.0670374,0.867888,-0.294894,0.961029,1.03155,-0.323656,0,1.08113
85,0.926427,2.75799,0.899137,0.915262,-0.32487,0,0.971208,0.04474,-0.040676,0,0.0604666,0.899566,-0.224184,0.971006,0.987948,-0.35067,0,1.04834
86,0.952851,2.82606,0.861805,0.893236,-0.359586,0,0.962898,0.03844,-0.0382957,0,0.0542604,0.935815,-0.143269,0.982122,0.937436,-0.377379,0,1.01054
87,0.98263,2.90232,0.819614,0.863903,-0.395824,0,0.950266,0.0326,-0.0357889,0,0.0484108,0.977133,-0.051042,0.994406,0.879174,-0.402821,0,0.967064
88,1.01594,2.987,0.771957,0.825165,-0.432413,0,0.9316,0.02723,-0.0331595,0,0.0429072,1.02395,0.0534545,1.00788,0.81222,-0.425629,0,0.916985
89,1.05298,3.08048,0.718122,0.774806,-0.467153,0,0.904741,0.02232,-0.0304019,0,0.0377155,1.07672,0.171249,1.02254,0.73582,-0.443647,0,0.859217
90,1.09363,3.18222,0.657502,0.710333,-0.496967,0,0.866919,0.0179,-0.0275342,0,0.0328412,1.13545,0.302335,1.03824,0.649521,-0.454421,0,0.792702
91,1.13744,3.29097,0.589481,0.629917,-0.516751,0,0.814756,0.01395,-0.024546,0,0.0282331,1.19966,0.445679,1.05471,0.553804,-0.454312,0,0.716309
92,1.18318,3.40345,0.513438,0.532465,-0.519706,0,0.744051,0.01049,-0.0214554,0,0.0238825,1.2678,0.597764,1.07151,0.450026,-0.439243,0,0.628855
93,1.2293,3.51591,0.42913,0.419976,-0.497478,0,0.651049,0.00752,-0.0182701,0,0.0197572,1.33741,0.753137,1.08794,0.341638,-0.404683,0,0.529608
94,1.27273,3.62092,0.336491,0.298002,-0.440934,0,0.532191,0.00504,-0.0149997,0,0.0158238,1.40386,0.901476,1.10303,0.234143,-0.346446,0,0.418149
95,1.3106,3.71212,0.235499,0.177374,-0.342528,0,0.385729,0.00305,-0.0116561,0,0.0120486,1.46214,1.03157,1.11563,0.135339,-0.261353,0,0.294316
96,1.33574,3.77173,0.127984,0.0739562,-0.201326,0,0.21448,0.00156,-0.00827945,0,0.00842513,1.5018,1.12009,1.12432,0.0553673,-0.150723,0,0.160571
97,1.35068,3.80899,0.0122728,0.00451984,-0.0203347,0,0.020831,0.00056,-0.00487775,0,0.00490979,1.52353,1.1686,1.12797,0.00334634,-0.0150551,0,0.0154225
98,1.33865,3.7784,0.106023,-0.0203199,0.176992,0,0.178155,6e-05,-0.00153097,0,0.00153214,1.50662,1.13084,1.12548,-0.0151795,0.132217,0,0.133086
99,1.31278,3.71251,0.188626,0,0.310079,0,0.310079,0,0,0,0,1.47036,1.0499,1.12004,0,0.236201,0,0.236201
100,1.30191,3.69185,0.265619,0.0570265,0.427752,0,0.431536,6e-05,0.0013946,0,0.00139589,1.44813,1.00029,1.11231,0.0438022,0.328557,0,0.331464
101,1.2579,3.58927,0.390361,0.160389,0.586334,0,0.607875,0.00056,0.00420052,0,0.00423768,1.37696,0.841422,1.09465,0.127505,0.466121,0,0.483245
102,1.17012,3.37061,0.532589,0.328101,0.687558,0,0.761831,0.00156,0.00687815,0,0.00705284,1.24904,0.555895,1.06745,0.2804,0.587598,0,0.651073
103,1.08877,3.16902,0.660845,0.497619,0.710108,0,0.867109,0.00305,0.00941849,0,0.00990002,1.12949,0.289043,1.0374,0.457046,0.652209,0,0.796409
104,1.01044,2.97183,0.775533,0.639229,0.676023,0,0.930387,0.00504,0.0118442,0,0.0128719,1.0174,0.0388317,1.00689,0.632626,0.669041,0,0.920778
105,0.940284,2.79233,0.874517,0.742978,0.611666,0,0.962367,0.00752,0.0141458,0,0.0160204,0.919937,-0.178712,0.978361,0.790163,0.650512,0,1.02349
106,0.882219,2.64166,0.95598,0.812386,0.538265,0,0.974526,0.01049,0.0163309,0,0.0194098,0.841366,-0.354094,0.953692,0.920844,0.610126,0,1.10463
107,0.836104,2.52063,1.02136,0.856707,0.467863,0,0.976137,0.01395,0.0184061,0,0.0230952,0.780328,-0.490339,0.933291,1.02464,0.559575,0,1.16748
108,0.800555,2.4265,1.07262,0.884406,0.405515,0,0.972942,0.0179,0.0203777,0,0.027123,0.734111,-0.593502,0.917002,1.10474,0.506542,0,1.21533
109,0.773749,2.35505,1.11205,0.901853,0.352167,0,0.968174,0.02232,0.0222439,0,0.0315115,0.69973,-0.670247,0.904337,1.16556,0.455144,0,1.25128
110,0.75397,2.30211,1.14183,0.913143,0.307474,0,0.963519,0.02723,0.024021,0,0.0363109,0.674583,-0.726378,0.894708,1.21111,0.407807,0,1.27793
111,0.739562,2.26339,1.16377,0.920654,0.269996,0,0.959427,0.0326,0.0257054,0,0.0415154,0.656424,-0.766912,0.887584,1.24486,0.365075,0,1.29729
